barrio,poblacion,hogares,nbi
ZEPA,"1,061",255,36
YOFRE SUD,"5,126","1,543",55
YOFRE NORTE,"6,935","2,180",60
YOFRE I,"2,631",791,33
YOFRE H,"1,789",508,29
YAPEYU,"8,373","2,406",142
VIVERO NORTE,"1,571",442,17
VILLA WARCALDE,624,184,20
VILLA UNION,"4,842","1,232",212
VILLA SOLFERINO,664,198,5
VILLA SILVANO FUNES,925,274,15
VILLA SIBURU,"1,333",365,43
VILLA SERRANA,"1,089",275,51
VILLA SAN ISIDRO,844,252,7
VILLA SAN CARLOS,507,161,15
VILLA RIVERA INDARTE,"4,473","1,207",62
VILLA RIVADAVIA,876,226,49
VILLA REVOL ANEXO,876,258,31
VILLA REVOL,"4,327","1,341",58
VILLA RETIRO,455,129,8
VILLA QUISQUIZACATE,"1,477",421,13
VILLA PAEZ,"4,861","1,428",105
VILLA MARTINEZ,"3,496",826,169
VILLA MARTA,981,340,2
VILLA MAFEKIN,"1,923",542,44
VILLA LA MERCED,"1,325",280,61
VILLA GRAN PARQUE,581,155,11
VILLA GENERAL URQUIZA,"6,010","1,524",261
VILLA EUCARISTICA,"1,404",366,6
VILLA ESQUIU,834,224,18
VILLA EL LIBERTADOR,"29,324","7,541","1,048"
VILLA CORONEL OLMEDO,"3,719","1,052",66
VILLA CORNU,"3,637",954,72
VILLA CORINA,"4,622","1,373",78
VILLA CLAUDINA,334,98,6
VILLA CLARET,494,137,4
VILLA CENTENARIO,"2,331",847,13
VILLA CABRERA,"6,437","2,336",28
VILLA BUSTOS,"2,219",538,54
VILLA BELGRANO,"5,152","1,554",24
VILLA AZALAIS OESTE,"1,121",319,14
VILLA AZALAIS ANEXO,351,82,13
VILLA AZALAIS,"7,680","2,225",140
VILLA AVALOS,"1,364",350,88
VILLA ASPACIA,"2,319",607,43
VILLA ARGENTINA,966,313,3
VILLA ALLENDE PARQUE,"5,601","1,512",138
VILLA ALICIA RISLER,"3,062",797,100
VILLA ALBERTO,876,198,25
VILLA ALBERDI,"2,014",547,44
VILLA ADELA,"3,684","1,088",56
VILLA 9 DE JULIO,"8,712","2,383",268
VILLA 4 DE AGOSTO,"1,620",329,81
VICOR,418,93,3
VASQUEZ,119,32,13
VALLE DEL CERRO,701,216,0
URQUIZA,"5,578","1,562",160
URITORCO,428,127,1
URCA,"3,308","1,073",19
UOCRA,"1,906",582,25
TRANVIARIOS,"2,245",720,16
TEODORO FELDS,"3,542","1,258",5
TENIENTE BENJAMIN MATIENZO,"6,873","2,080",45
TEJAS II,687,187,6
TEJAS DEL SUR,"1,454",406,5
TALLERES SUD,"3,940","1,027",145
TALLERES OESTE,"5,925","1,848",62
TALLERES ESTE,"5,542","1,710",59
TABLADA PARK,748,265,0
SUAREZ,"2,807",762,87
SOLARES DE SANTA MARIA- ALTOS DE MANANTIALES,650,192,1
SMATA,"2,291",599,2
SEP SEGUNDA ETAPA,"2,640",759,16
SEP,"1,039",292,7
SARMIENTO,"2,507",785,17
SARGENTO CABRAL,"3,597","1,060",78
SANTA RITA,"1,145",395,13
SANTA ISABEL SECCION 3,"4,047","1,071",51
SANTA ISABEL SECCION 2,"6,113","1,748",100
SANTA ISABEL SECCION 1,"3,583","1,013",45
SANTA ISABEL ANEXO,"1,361",328,24
SANTA CLARA DE ASIS,"1,839",481,8
SANTA CECILIA,"1,089",317,40
SAN VICENTE,"18,145","5,733",291
SAN SALVADOR,"2,101",648,4
SAN RAMON,356,96,11
SAN RAFAEL,"5,172","1,698",20
SAN PEDRO NOLASCO,982,265,26
SAN PABLO,"2,190",672,25
SAN NICOLAS,"2,063",596,44
SAN MARTIN NORTE,"1,945",560,34
SAN MARTIN ANEXO,"3,153","1,078",37
SAN MARTIN,"13,157","4,358",207
SAN MARCELO,270,91,0
SAN LUIS DE FRANCIA,406,107,4
SAN LORENZO NORTE,419,140,5
SAN LORENZO,"1,988",618,17
SAN JOSE,548,166,2
SAN JAVIER,"1,637",413,36
SAN IGNACIO,"2,787",755,82
SAN FRANCISCO,"1,123",362,2
SAN FERNANDO,"4,094","1,612",65
SAN FELIPE,"2,553",667,44
SAN DANIEL,"1,359",455,13
SAN CAYETANO,288,65,6
SAN ANTONIO,323,93,4
SACHI,"1,053",255,28
ROSEDAL ANEXO,916,288,6
ROSEDAL,"2,314",755,6
ROGELIO MARTINEZ,"1,204",390,3
ROCIO DEL SUR,,,
ROCIO,,,
RIVERA INDARTE,"1,742",517,23
RIVADAVIA,"3,105","1,064",25
RESIDENCIAL VELEZ SARSFIELD,"3,161","1,013",6
RESIDENCIAL SUD,947,282,5
RESIDENCIAL SANTA ROSA,"2,741",713,43
RESIDENCIAL SANTA ANA,"1,547",474,13
RESIDENCIAL SAN ROQUE,"13,559","3,398",501
RESIDENCIAL SAN JORGE,"1,120",292,36
RESIDENCIAL SAN CARLOS,"2,868",908,17
RESIDENCIAL OLIVOS,971,311,4
RESIDENCIAL ARAGON,"1,719",432,55
RESIDENCIAL AMERICA,"6,874","2,183",50
RES CHATEAU CARRERAS CO VI CO,201,62,0
RENE FAVALORO II,"1,536",470,9
RENE FAVALORO,"1,012",296,1
RENACIMIENTO,"2,927",699,71
REMEDIOS DE ESCALADA,"4,565","1,256",150
RECREO DEL NORTE,"2,032",487,61
RAMON J CARCANO,"2,031",532,50
QUINTAS DE SAN JORGE,"1,537",340,46
QUINTAS DE ITALIA,436,115,3
QUINTAS DE FLORES,194,44,0
QUINTAS DE ARGUELLO,649,205,2
QUINTA SANTA ANA,648,242,0
QUEBRADA DE LAS ROSAS,"4,842","1,503",20
PUENTE BLANCO,"1,157",354,14
PROVIDENCIA,"4,998","1,856",148
PRIMERA JUNTA,783,253,3
POSTA DE VARGAS,719,171,5
PORTAL DEL JACARANDA,183,54,2
PORTAL DE CORDOBA,"2,234",535,20
POLICIAL,"4,680","1,212",156
POLICARPIO CABRAL,517,157,5
POETA LUGONES,"7,839","2,591",14
PIEDRAS BLANCAS,41,16,0
PATRICIOS OESTE,"5,211","1,370",114
PATRICIOS NORTE,"1,790",485,39
PATRICIOS ESTE,"2,550",653,51
PATRICIOS,"4,731","1,400",67
PATRIA,"1,790",640,5
PASO DE LOS ANDES,"2,529",902,25
PARQUE VELEZ SARSFIELD,"3,045","1,004",8
PARQUE TABLADA,981,323,1
PARQUE SARMIENTO,,,
PARQUE SAN VICENTE,"1,327",451,3
PARQUE SAN CARLOS,749,231,2
PARQUE REPUBLICA,"7,412","1,861",201
PARQUE MONTECRISTO,"1,554",466,6
PARQUE MODELO,259,82,0
PARQUE LOS MOLINOS,864,264,6
PARQUE LICEO SECCION 3,"5,593","1,426",164
PARQUE LICEO SECCION 2,"7,826","2,013",157
PARQUE LICEO SECCION 1,"3,693","1,108",58
PARQUE LATINO,"1,306",432,4
PARQUE JORGE NEWBERY,"2,909",913,16
PARQUE FUTURA,"2,851",703,68
PARQUE DON BOSCO,"4,691","1,385",24
PARQUE DEL ESTE,679,180,24
PARQUE DE LA VIDA,,,
PARQUE DE LA VEGA III,596,180,1
PARQUE DE LA VEGA II,596,155,22
PARQUE COREMA,584,220,1
PARQUE CHATEAU CARRERAS,28,7,1
PARQUE CHACABUCO,"1,164",388,1
PARQUE CAPITAL SUD,"1,443",442,2
PARQUE CAPITAL,"3,972","1,272",6
PARQUE ATLANTICA,"2,249",734,17
PARQUE ALAMEDA,656,195,3
PANAMERICANO,"3,346","1,072",26
PALMAS DEL CLARET,623,211,0
PALMAR,"1,025",283,10
PALERMO BAJO,"1,909",666,3
PADRE CLARET,871,256,0
OSN,"1,993",575,8
ONA,"1,333",405,9
OMBU,"1,681",567,5
OBSERVATORIO,"6,616","2,360",128
OBRERO,"2,481",919,13
NUEVO URCA,104,36,0
NUEVA ITALIA,"3,347",988,54
NUEVA CORDOBA ANEXA,"1,582",500,6
NUEVA CORDOBA,"37,055","20,811",245
NUESTRO HOGAR III,"5,570","1,394",305
NUESTRO HOGAR II,861,209,33
NUESTRO HOGAR I,595,157,18
NICOLAS AVELLANEDA,"1,782",492,16
MUTUAL DE LOS DOCENTES,729,205,1
MIRIZZI,693,163,17
MIRALTA,"3,528",889,145
MIRADOR DEL CHATEAU,377,144,0
MIRADOR,"3,164",956,107
