barrio,centroide_lat,centroide_lon
1 DE MAYO,-31.4359592193562,-64.1176949424045
2 DE SEPTIEMBRE,-31.3336313559965,-64.2419277567805
20 DE JUNIO,-31.38667683145,-64.1637940986309
23 DE ABRIL,-31.4576861165788,-64.1279620826956
25 DE MAYO,-31.4900986725101,-64.0823231112529
4 DE FEBRERO,-31.4561267034649,-64.1456965562471
ACHAVAL PENA,-31.436225387803,-64.2040585961533
ACOSTA,-31.4236045698365,-64.1235108429697
AERONAUTICO- VILLA ZEPELLIN,-31.4304095651434,-64.270881350096
AEROPUERTO,-31.3249626672809,-64.1957356859382
AIRES DEL SUR,-31.4642440553401,-64.1844348530897
ALBERDI,-31.408369589323,-64.2021742180649
ALBORADA NORTE,-31.3416624086498,-64.2683019408073
ALBORADA SUR,-31.3620500617943,-64.2251144260463
ALEJANDRO CENTENO,-31.3582805289735,-64.231473963748
ALMIRANTE BROWN,-31.4616440154167,-64.0911138850279
ALTA CORDOBA,-31.3903799365102,-64.1842494728698
ALTAMIRA,-31.4251579009481,-64.1312574377859
ALTO ALBERDI,-31.4077929131874,-64.219940676278
ALTO DE DON BOSCO,-31.3869535266229,-64.2657645536358
ALTO DE SANTA ANA,-31.4064423364043,-64.2489468672371
ALTO HERMOSO,-31.3302939640896,-64.3052937554776
ALTO PALERMO,-31.3756925958522,-64.2247362943992
ALTO VERDE,-31.3735358226288,-64.2141325964614
ALTOS DE VELEZ SARSFIELD,-31.4483323168207,-64.2140975038702
ALTOS DE VILLA CABRERA,-31.3812472018439,-64.2196230940151
ALTOS SAN MARTIN,-31.3772325958898,-64.2143578517347
ALTOS SUD DE SAN VICENTE,-31.4371311914398,-64.1408888444944
AMEGHINO NORTE,-31.4291728661583,-64.2372008417107
AMEGHINO SUD,-31.4344344120781,-64.2375798932284
AMPLIACION ALTAMIRA,-31.418800365534,-64.130149050924
AMPLIACION BENJAMIN MATIENZO,-31.44629840021855,-64.2349158491345
AMPLIACION CABO FARINA,-31.4615420959235,-64.2148780007921
AMPLIACION EMPALME,-31.4317354197924,-64.1252161280049
AMPLIACION GENERAL ARTIGAS,-31.4632233206896,-64.1958875212659
AMPLIACION JARDIN ESPINOSA,-31.4554158322251,-64.1732980577387
AMPLIACION JOSE IGNACIO DIAZ SECCION 2,-31.4509219153054,-64.1466007273166
AMPLIACION JOSE IGNACIO DIAZ SECCION 3,-31.4507822343279,-64.1432181375558
AMPLIACION KENNEDY,-31.4562968531853,-64.1943881636183
AMPLIACION LAS PALMAS,-31.4010828106417,-64.2428597732512
AMPLIACION LOS ALAMOS,-31.3644166507386,-64.1542919428214
AMPLIACION LOS PLATANOS,-31.4186010236435,-64.2341405576036
AMPLIACION PALMAR,-31.3875352636237,-64.1202527784613
AMPLIACION PANAMERICANO,-31.365476066006,-64.1799886672889
AMPLIACION PARQUE SAN CARLOS,-31.4499585215276,-64.1563841653437
AMPLIACION POETA LUGONES,-31.3597595516254,-64.2227669849132
AMPLIACION PRIMERO DE MAYO,-31.4437153991218,-64.1123370937661
AMPLIACION PUEYRREDON,-31.393666954668,-64.1450821797477
AMPLIACION RESIDENCIAL AMERICA,-31.376008249888,-64.1612331264453
AMPLIACION ROSEDAL,-31.4399633501796,-64.2242393178094
AMPLIACION SAN FERNANDO,-31.4534767190212,-64.1916184339401
AMPLIACION SAN PABLO,-31.4520403999847,-64.1597214554589
AMPLIACION URCA,-31.3861014776024,-64.2397057643087
AMPLIACION VELEZ SARSFIELD,-31.4536351703001,-64.2155839465438
ANA MARIA ZUMARAN,-31.3788939846699,-64.2012741737084
ANEXO LOS ALAMOS,-31.3666642452745,-64.1594514014465
APEADERO LA TABLADA,-31.3520184390118,-64.2355975006689
