nombre,tipo,barrio,longitud,latitud
CS N° 1 - General Mosconi,Centro de Salud,GENERAL MOSCONI,-64.149057,-31.3648
CS N° 2 - Los Sauces,Centro de Salud,LOS SAUCES,-64.099324,-31.46223
CS N° 3 - Los Pinos,Centro de Salud,LOS PINOS,-64.140914,-31.39212
CS N° 4 - Nueva Italia,Centro de Salud,NUEVA ITALIA,-64.142765,-31.381934
CS N° 5 - Yofre Norte,Centro de Salud,YOFRE NORTE,-64.130464,-31.38667
CS N° 6 - Villa Rivera Indarte,Centro de Salud,VILLA RIVERA INDARTE,-64.297292,-31.328122
CS N° 7 - Pueyrredón,Centro de Salud,GENERAL PUEYRREDON,-64.154813,-31.400302
CS N° 8 - Acosta,Centro de Salud,ACOSTA,-64.130083,-31.427812
CS N° 9 - Alberdi Oeste,Centro de Salud,ALBERDI,-64.213926,-31.404899
CS N° 10 - Colonia Lola,Centro de Salud,COLONIA LOLA,-64.115186,-31.424926
CS N° 11 - Crisol Sur,Centro de Salud,CRISOL SUD,-64.164217,-31.43975
CS N° 12 - Ferreyra,Centro de Salud,FERREYRA,-64.108868,-31.461173
CS N° 13 - Hipolito Yrigoyen,Centro de Salud,HIPOLITO IRIGOYEN,-64.186984,-31.372752
CS N° 14 - General Bustos,Centro de Salud,GENERAL BUSTOS,-64.163957,-31.387143
CS N° 15 - Remedios de Escalada,Centro de Salud,REMEDIOS DE ESCALADA,-64.178771,-31.339123
CS N° 16 - Zumaran,Centro de Salud,ANA MARIA ZUMARAN,-64.205153,-31.375246
CS N° 17 - Villa Azalaiz Oeste,Centro de Salud,VILLA AZALAIS OESTE,-64.175209,-31.36641
CS N° 18 - San Jorge,Centro de Salud,RESIDENCIAL SAN JORGE,-64.132154,-31.374268
CS N° 19 - Sargento Cabral,Centro de Salud,SARGENTO CABRAL,-64.194928,-31.375731
CS N° 20 - Las Margaritas,Centro de Salud,LAS MARGARITAS,-64.210984,-31.377368
CS N° 21 - Marqués de Sobremonte,Centro de Salud,MARQUES DE SOBREMONTE,-64.196747,-31.364883
