barrio,poblacion,hogares,nbi,pct_nbi,escuelas_total,escuelas_estatales,escuelas_privadas,dispensarios_municipales,paradas_colectivo,lineas_colectivo,luminarias_reportes,comisarias,centros_vecinales,poblacion_log,pct_escuelas_privadas,escuelas_por_1000_hab,dispensarios_por_10000_hab,comisarias_por_10000_hab,paradas_por_1000_hab,centros_vecinales_por_10000_hab,tiene_escuela,tiene_dispensario,tiene_comisaria,tiene_transporte,infraestructura_score,centroide_lat,centroide_lon,tamano_promedio_hogar,educacion_ratio_publico_privado,ranking_infraestructura,percentil_infraestructura
1 DE MAYO,19996.0,5576.0,342.0,6.13,7,5,2,0,16,3,38,0,2,9.903,0.286,0.35,0.0,0.0,0.8,1.0,1,0,0,1,0.0391,-31.4359592193562,-64.1176949424045,3.59,2.5,445,10.1
2 DE SEPTIEMBRE,2624.0,588.0,126.0,21.43,1,1,0,1,11,3,0,0,1,7.873,0.0,0.38,3.81,0.0,4.19,3.81,1,1,0,1,0.2311,-31.3336313559965,-64.2419277567805,4.46,1.0,188,62.1
20 DE JUNIO,661.0,200.0,28.0,14.0,0,0,0,1,16,5,5,0,0,6.495,0.0,0.0,6.656999999999986,0.0,24.0,0.0,0,1,0,1,0.6667,-31.38667683145,-64.1637940986309,3.3,0.0,20,95.9
23 DE ABRIL,1879.0,424.0,69.0,16.27,0,0,0,0,3,1,30,0,1,7.539,0.0,0.0,0.0,0.0,1.6,5.32,0,0,0,1,0.0296,-31.4576861165788,-64.1279620826956,4.43,0.0,455,8.1
25 DE MAYO,500.0,200.0,31.0,15.5,5,5,0,0,12,1,4,0,4,6.217,0.0,4.8035,0.0,0.0,24.0,80.0,1,0,0,1,0.7778,-31.4900986725101,-64.0823231112529,2.5,5.0,6,98.5
4 DE FEBRERO,854.0,207.0,16.0,7.73,0,0,0,0,2,2,11,0,1,6.751,0.0,0.0,0.0,0.0,2.34,11.71,0,0,0,1,0.0433,-31.4561267034649,-64.1456965562471,4.13,0.0,438,11.5
ACHAVAL PENA,754.0,218.0,10.0,4.59,0,0,0,0,6,1,78,0,0,6.627,0.0,0.0,0.0,0.0,7.96,0.0,0,0,0,1,0.1474,-31.436225387803,-64.2040585961533,3.46,0.0,297,40.1
ACOSTA,5512.0,1519.0,137.0,9.02,7,7,0,0,18,3,15,0,1,8.615,0.0,1.27,0.0,0.0,3.27,1.81,1,0,0,1,0.1487,-31.4236045698365,-64.1235108429697,3.63,7.0,286,42.3
AERONAUTICO- VILLA ZEPELLIN,928.0,256.0,7.0,2.73,4,4,0,0,10,1,0,0,0,6.834,0.0,4.31,0.0,0.0,10.78,0.0,1,0,0,1,0.4987,-31.4304095651434,-64.270881350096,3.62,4.0,48,90.5
AEROPUERTO,500.0,200.0,5.0,2.5,1,1,0,0,8,2,0,0,0,6.217,0.0,2.0,0.0,0.0,16.0,0.0,1,0,0,1,0.4351,-31.3249626672809,-64.1957356859382,2.5,1.0,71,85.8
AIRES DEL SUR,500.0,200.0,0.0,0.0,0,0,0,0,2,2,0,0,0,6.217,0.0,0.0,0.0,0.0,4.0,0.0,0,0,0,1,0.0741,-31.4642440553401,-64.1844348530897,2.5,0.0,406,17.5
ALBERDI,32729.0,15505.0,858.0,5.53,38,14,24,0,47,27,354,2,2,10.396,0.632,1.16,0.0,0.61,1.44,0.61,1,0,1,1,0.1507,-31.408369589323,-64.2021742180649,2.11,0.58,284,42.7
ALBORADA NORTE,500.0,200.0,2.0,1.0,0,0,0,0,17,5,0,0,0,6.217,0.0,0.0,0.0,0.0,24.0,0.0,0,0,0,1,0.4444,-31.3416624086498,-64.2683019408073,2.5,0.0,59,87.4
ALBORADA SUR,500.0,200.0,1.0,0.5,0,0,0,0,7,3,23,0,0,6.217,0.0,0.0,0.0,0.0,14.0,0.0,0,0,0,1,0.2593,-31.3620500617943,-64.2251144260463,2.5,0.0,156,68.4
ALEJANDRO CENTENO,1231.0,432.0,2.0,0.46,2,2,0,0,10,3,21,0,1,7.116,0.0,1.62,0.0,0.0,8.12,8.12,1,0,0,1,0.2628,-31.3582805289735,-64.231473963748,2.85,2.0,154,69.0
ALMIRANTE BROWN,1019.0,246.0,13.0,5.28,2,2,0,0,6,4,16,0,2,6.928,0.0,1.96,0.0,0.0,5.89,19.63,1,0,0,1,0.2451,-31.4616440154167,-64.0911138850279,4.14,2.0,172,65.4
ALTA CORDOBA,34575.0,12560.0,372.0,2.96,33,13,20,0,31,9,544,1,0,10.451,0.606,0.95,0.0,0.29,0.9,0.0,1,0,1,1,0.1033,-31.3903799365102,-64.1842494728698,2.75,0.65,369,25.4
ALTAMIRA,6103.0,1895.0,36.0,1.9,2,1,1,1,17,4,91,0,0,8.717,0.5,0.33,1.64,0.0,2.79,0.0,1,1,0,1,0.1293,-31.4251579009481,-64.1312574377859,3.22,1.0,317,36.0
