barrio,poblacion,hogares,nbi,pct_nbi,escuelas_total,escuelas_estatales,escuelas_privadas,dispensarios_municipales,paradas_colectivo,lineas_colectivo,luminarias_reportes,comisarias,centros_vecinales,poblacion_log,pct_escuelas_privadas,escuelas_por_1000_hab,dispensarios_por_10000_hab,comisarias_por_10000_hab,paradas_por_1000_hab,centros_vecinales_por_10000_hab,tiene_escuela,tiene_dispensario,tiene_comisaria,tiene_transporte,infraestructura_score,centroide_lat,centroide_lon,area_barrio_km2,densidad_poblacional,densidad_hogares,infraestructura_por_km2,educacion_ratio_publico_privado,servicios_basicos_score,tamano_promedio_hogar,cluster_barrio,cluster_descripcion,categoria_infraestructura,tooltip_html
1 DE MAYO,19996.0,5576.0,342.0,6.13,7,5,2,0,16,3,38,0,2,9.903,0.286,0.35,0.0,0.0,0.8,1.0,1,0,0,1,0.0391,0.0,0.0,1.13,17695.5752,4934.5133,0.0346,2.0,0.6667,3.5861,0,"Transición Urbana (Vulnerabilidad Media, Servicios Básicos)",Muy Baja,"<b>1 DE MAYO</b><hr>Tipología: Transición Urbana (Vulnerabilidad Media, Servicios Básicos)<br>Pob: 19996.0<br>Score Infra: Muy Baja"
2 DE SEPTIEMBRE,2624.0,588.0,126.0,21.43,1,1,0,1,11,3,0,0,1,7.873,0.0,0.38,3.81,0.0,4.19,3.81,1,1,0,1,0.2311,0.0,0.0,0.24,10933.3333,2450.0,0.9629,2.0,1.0,4.4626,0,"Transición Urbana (Vulnerabilidad Media, Servicios Básicos)",Alta,"<b>2 DE SEPTIEMBRE</b><hr>Tipología: Transición Urbana (Vulnerabilidad Media, Servicios Básicos)<br>Pob: 2624.0<br>Score Infra: Alta"
20 DE JUNIO,661.0,200.0,28.0,14.0,0,0,0,1,16,5,5,0,0,6.495,0.0,0.0,6.657,0.0,24.0,0.0,0,1,0,1,0.6667,0.0,0.0,0.04,16525.0,5000.0,16.6675,1.0,0.6667,3.305,1,"Núcleo Consolidado (Alto Estándar, Alta Infraestructura)",Muy Alta,"<b>20 DE JUNIO</b><hr>Tipología: Núcleo Consolidado (Alto Estándar, Alta Infraestructura)<br>Pob: 661.0<br>Score Infra: Muy Alta"
23 DE ABRIL,1879.0,424.0,69.0,16.27,0,0,0,0,3,1,30,0,1,7.539,0.0,0.0,0.0,0.0,1.6,5.32,0,0,0,1,0.0296,0.0,0.0,0.18,10438.8889,2355.5556,0.1644,1.0,0.3333,4.4316,0,"Transición Urbana (Vulnerabilidad Media, Servicios Básicos)",Muy Baja,"<b>23 DE ABRIL</b><hr>Tipología: Transición Urbana (Vulnerabilidad Media, Servicios Básicos)<br>Pob: 1879.0<br>Score Infra: Muy Baja"
25 DE MAYO,500.0,200.0,31.0,15.5,5,5,0,0,12,1,4,0,4,6.217,0.0,4.8035,0.0,0.0,24.0,80.0,1,0,0,1,0.7778,0.0,0.0,0.18,2777.7778,1111.1111,4.3211,6.0,0.6667,2.5,1,"Núcleo Consolidado (Alto Estándar, Alta Infraestructura)",Muy Alta,"<b>25 DE MAYO</b><hr>Tipología: Núcleo Consolidado (Alto Estándar, Alta Infraestructura)<br>Pob: 500.0<br>Score Infra: Muy Alta"
4 DE FEBRERO,854.0,207.0,16.0,7.73,0,0,0,0,2,2,11,0,1,6.751,0.0,0.0,0.0,0.0,2.34,11.71,0,0,0,1,0.0433,0.0,0.0,0.25,3416.0,828.0,0.1732,1.0,0.3333,4.1256,0,"Transición Urbana (Vulnerabilidad Media, Servicios Básicos)",Muy Baja,"<b>4 DE FEBRERO</b><hr>Tipología: Transición Urbana (Vulnerabilidad Media, Servicios Básicos)<br>Pob: 854.0<br>Score Infra: Muy Baja"
ACHAVAL PENA,754.0,218.0,10.0,4.59,0,0,0,0,6,1,78,0,0,6.627,0.0,0.0,0.0,0.0,7.96,0.0,0,0,0,1,0.1474,0.0,0.0,8.08,93.3168,26.9802,0.0182,1.0,0.3333,3.4587,0,"Transición Urbana (Vulnerabilidad Media, Servicios Básicos)",Baja,"<b>ACHAVAL PENA</b><hr>Tipología: Transición Urbana (Vulnerabilidad Media, Servicios Básicos)<br>Pob: 754.0<br>Score Infra: Baja"
ACOSTA,5512.0,1519.0,137.0,9.02,7,7,0,0,18,3,15,0,1,8.615,0.0,1.27,0.0,0.0,3.27,1.81,1,0,0,1,0.1487,0.0,0.0,0.62,8890.3226,2450.0,0.2398,8.0,0.6667,3.6287,0,"Transición Urbana (Vulnerabilidad Media, Servicios Básicos)",Media,"<b>ACOSTA</b><hr>Tipología: Transición Urbana (Vulnerabilidad Media, Servicios Básicos)<br>Pob: 5512.0<br>Score Infra: Media"
AERONAUTICO- VILLA ZEPELLIN,928.0,256.0,7.0,2.73,4,4,0,0,10,1,0,0,0,6.834,0.0,4.31,0.0,0.0,10.78,0.0,1,0,0,1,0.4987,0.0,0.0,0.28,6950.9434,2083.3333,0.5626,5.0,0.6667,3.625,1,"Núcleo Consolidado (Alto Estándar, Alta Infraestructura)",Muy Alta,"<b>AERONAUTICO- VILLA ZEPELLIN</b><hr>Tipología: Núcleo Consolidado (Alto Estándar, Alta Infraestructura)<br>Pob: 928.0<br>Score Infra: Muy Alta"
AEROPUERTO,500.0,200.0,5.0,2.5,1,1,0,0,8,2,0,0,0,6.217,0.0,2.0,0.0,0.0,16.0,0.0,1,0,0,1,0.4351,0.0,0.0,3.11,160.7717,64.3087,0.1399,2.0,0.6667,2.5,1,"Núcleo Consolidado (Alto Estándar, Alta Infraestructura)",Muy Alta,"<b>AEROPUERTO</b><hr>Tipología: Núcleo Consolidado (Alto Estándar, Alta Infraestructura)<br>Pob: 500.0<br>Score Infra: Muy Alta"
