barrio,poblacion,hogares,nbi,escuelas_municipales,pct_nbi
ZEPA,1061.0,255.0,36.0,0,14.1
YOFRE SUD,5126.0,1543.0,55.0,0,3.6
YOFRE NORTE,6935.0,2180.0,60.0,0,2.8
YOFRE I,2631.0,791.0,33.0,0,4.2
YOFRE H,1789.0,508.0,29.0,0,5.7
YAPEYU,8373.0,2406.0,142.0,0,5.9
VIVERO NORTE,1571.0,442.0,17.0,0,3.8
VILLA WARCALDE,624.0,184.0,20.0,0,10.9
VILLA UNION,4842.0,1232.0,212.0,0,17.2
VILLA SOLFERINO,664.0,198.0,5.0,0,2.5
VILLA SILVANO FUNES,925.0,274.0,15.0,0,5.5
VILLA SIBURU,1333.0,365.0,43.0,1,11.8
VILLA SERRANA,1089.0,275.0,51.0,0,18.5
VILLA SAN ISIDRO,844.0,252.0,7.0,0,2.8
VILLA SAN CARLOS,507.0,161.0,15.0,0,9.3
VILLA RIVERA INDARTE,4473.0,1207.0,62.0,1,5.1
VILLA RIVADAVIA,876.0,226.0,49.0,0,21.7
VILLA REVOL ANEXO,876.0,258.0,31.0,0,12.0
VILLA REVOL,4327.0,1341.0,58.0,0,4.3
VILLA RETIRO,455.0,129.0,8.0,0,6.2
VILLA QUISQUIZACATE,1477.0,421.0,13.0,0,3.1
VILLA PAEZ,4861.0,1428.0,105.0,0,7.4
VILLA MARTINEZ,3496.0,826.0,169.0,0,20.5
VILLA MARTA,981.0,340.0,2.0,0,0.6
VILLA MAFEKIN,1923.0,542.0,44.0,0,8.1
VILLA LA MERCED,1325.0,280.0,61.0,0,21.8
VILLA GRAN PARQUE,581.0,155.0,11.0,0,7.1
VILLA GENERAL URQUIZA,6010.0,1524.0,261.0,0,17.1
VILLA EUCARISTICA,1404.0,366.0,6.0,0,1.6
VILLA ESQUIU,834.0,224.0,18.0,0,8.0
VILLA EL LIBERTADOR,29324.0,7541.0,1048.0,1,13.9
VILLA CORONEL OLMEDO,3719.0,1052.0,66.0,0,6.3
VILLA CORNU,3637.0,954.0,72.0,1,7.5
VILLA CORINA,4622.0,1373.0,78.0,0,5.7
VILLA CLAUDINA,334.0,98.0,6.0,0,6.1
VILLA CLARET,494.0,137.0,4.0,0,2.9
VILLA CENTENARIO,2331.0,847.0,13.0,0,1.5
VILLA CABRERA,6437.0,2336.0,28.0,0,1.2
VILLA BUSTOS,2219.0,538.0,54.0,0,10.0
VILLA BELGRANO,5152.0,1554.0,24.0,0,1.5
VILLA AZALAIS OESTE,1121.0,319.0,14.0,0,4.4
VILLA AZALAIS ANEXO,351.0,82.0,13.0,0,15.9
VILLA AZALAIS,7680.0,2225.0,140.0,1,6.3
VILLA AVALOS,1364.0,350.0,88.0,0,25.1
VILLA ASPACIA,2319.0,607.0,43.0,0,7.1
VILLA ARGENTINA,966.0,313.0,3.0,0,1.0
VILLA ALLENDE PARQUE,5601.0,1512.0,138.0,1,9.1
VILLA ALICIA RISLER,3062.0,797.0,100.0,0,12.5
VILLA ALBERTO,876.0,198.0,25.0,0,12.6
VILLA ALBERDI,2014.0,547.0,44.0,0,8.0
VILLA ADELA,3684.0,1088.0,56.0,0,5.1
VILLA 9 DE JULIO,8712.0,2383.0,268.0,1,11.2
VILLA 4 DE AGOSTO,1620.0,329.0,81.0,0,24.6
VICOR,418.0,93.0,3.0,0,3.2
VASQUEZ,119.0,32.0,13.0,0,40.6
VALLE DEL CERRO,701.0,216.0,0.0,0,0.0
URQUIZA,5578.0,1562.0,160.0,1,10.2
URITORCO,428.0,127.0,1.0,0,0.8
URCA,3308.0,1073.0,19.0,0,1.8
