barrio,poblacion,hogares,nbi,pct_nbi,escuelas_municipales,escuelas_total,escuelas_estatales,escuelas_privadas,centros_salud,paradas_colectivo,lineas_colectivo,luminarias_reportes,comisarias,centros_vecinales
ZEPA,0,255,36,14.12,0,6,6,0,1,5,3,10,1,2
YOFRE SUD,0,0,55,0.0,0,3,3,0,0,12,3,321,0,1
YOFRE NORTE,0,0,60,0.0,0,6,2,4,0,18,4,46,0,1
YOFRE I,0,791,33,4.17,0,1,1,0,1,15,2,44,0,1
YOFRE H,0,508,29,5.71,0,3,3,0,0,0,0,267,0,0
YAPEYU,0,0,142,0.0,0,3,3,0,1,6,2,30,0,1
VIVERO NORTE,0,442,17,3.85,0,2,2,0,1,8,2,152,0,0
VILLA WARCALDE,624,184,20,10.87,0,3,0,3,0,5,1,10,0,0
VILLA UNION,0,0,212,0.0,0,3,3,0,1,16,2,8,0,1
VILLA SOLFERINO,664,198,5,2.53,0,4,1,3,0,7,3,11,0,1
VILLA SILVANO FUNES,925,274,15,5.47,0,2,1,1,0,22,7,28,0,1
VILLA SIBURU,0,365,43,11.78,0,3,3,0,1,8,4,100,0,1
VILLA SERRANA,0,275,51,18.55,0,1,1,0,0,6,1,1,0,2
VILLA SAN ISIDRO,844,252,7,2.78,0,3,0,3,0,9,3,26,0,0
VILLA SAN CARLOS,507,161,15,9.32,0,1,1,0,0,8,4,4,0,1
VILLA RIVERA INDARTE,0,0,62,0.0,0,4,3,1,1,20,2,121,0,1
VILLA RIVADAVIA,876,226,49,21.68,0,4,4,0,1,23,1,0,0,1
VILLA REVOL ANEXO,876,258,31,12.02,0,0,0,0,0,6,5,16,0,0
VILLA REVOL,0,0,58,0.0,0,0,0,0,0,10,4,298,0,1
VILLA RETIRO,455,129,8,6.2,0,6,2,4,0,3,2,53,0,1
VILLA QUISQUIZACATE,0,421,13,3.09,0,2,0,2,0,6,2,152,0,1
VILLA PAEZ,0,0,105,0.0,0,12,4,8,1,12,4,125,0,1
VILLA MARTINEZ,0,826,169,20.46,0,2,2,0,0,9,2,4,0,1
VILLA MARTA,981,340,2,0.59,0,0,0,0,0,8,3,29,0,0
