barrio,poblacion,hogares,nbi,pct_nbi,escuelas_municipales,escuelas_total,escuelas_estatales,escuelas_privadas,centros_salud,paradas_colectivo,lineas_colectivo,luminarias_reportes,comisarias,centros_vecinales,hogares_por_poblacion,densidad_hogares,escuelas_por_1000_hab,centros_salud_por_10000_hab,comisarias_por_10000_hab,paradas_por_1000_hab,centros_vecinales_por_10000_hab,tiene_escuela,tiene_centro_salud,tiene_comisaria,tiene_transporte,infraestructura_score
1 DE MAYO,19996.0,5576.0,342.0,6.13,0,7,5,2,0,16,3,38,0,2,0.279,0.279,0.35,0.0,0.0,0.8,1.0,1,0,0,1,0.0391
2 DE SEPTIEMBRE,2624.0,588.0,126.0,21.43,0,1,1,0,1,11,3,0,0,1,0.224,0.224,0.38,3.81,0.0,4.19,3.81,1,1,0,1,0.2311
20 DE JUNIO,661.0,200.0,28.0,14.0,0,0,0,0,1,16,5,5,0,0,0.303,0.303,0.0,6.656999999999986,0.0,24.0,0.0,0,1,0,1,0.6667
23 DE ABRIL,1879.0,424.0,69.0,16.27,0,0,0,0,0,3,1,30,0,1,0.226,0.226,0.0,0.0,0.0,1.6,5.32,0,0,0,1,0.0296
25 DE MAYO,500.0,200.0,31.0,15.5,0,5,5,0,0,12,1,4,0,4,0.4,0.4,4.8035,0.0,0.0,24.0,80.0,1,0,0,1,0.7778
4 DE FEBRERO,854.0,207.0,16.0,7.73,0,0,0,0,0,2,2,11,0,1,0.242,0.242,0.0,0.0,0.0,2.34,11.71,0,0,0,1,0.0433
ACHAVAL PENA,754.0,218.0,10.0,4.59,0,0,0,0,0,6,1,78,0,0,0.289,0.289,0.0,0.0,0.0,7.96,0.0,0,0,0,1,0.1474
ACOSTA,5512.0,1519.0,137.0,9.02,0,7,7,0,0,18,3,15,0,1,0.276,0.276,1.27,0.0,0.0,3.27,1.81,1,0,0,1,0.1487
AERONAUTICO- VILLA ZEPELLIN,928.0,256.0,7.0,2.73,0,4,4,0,0,10,1,0,0,0,0.276,0.276,4.31,0.0,0.0,10.78,0.0,1,0,0,1,0.4987
AEROPUERTO,500.0,200.0,5.0,2.5,0,1,1,0,0,8,2,0,0,0,0.4,0.4,2.0,0.0,0.0,16.0,0.0,1,0,0,1,0.4351
AIRES DEL SUR,500.0,200.0,0.0,0.0,0,0,0,0,0,2,2,0,0,0,0.4,0.4,0.0,0.0,0.0,4.0,0.0,0,0,0,1,0.0741
ALBERDI,32729.0,15505.0,858.0,5.53,0,38,14,24,0,47,27,354,2,2,0.474,0.474,1.16,0.0,0.61,1.44,0.61,1,0,1,1,0.1507
ALBORADA NORTE,500.0,200.0,2.0,1.0,0,0,0,0,0,17,5,0,0,0,0.4,0.4,0.0,0.0,0.0,24.0,0.0,0,0,0,1,0.4444
ALBORADA SUR,500.0,200.0,1.0,0.5,0,0,0,0,0,7,3,23,0,0,0.4,0.4,0.0,0.0,0.0,14.0,0.0,0,0,0,1,0.2593
ALEJANDRO CENTENO,1231.0,432.0,2.0,0.46,0,2,2,0,0,10,3,21,0,1,0.351,0.351,1.62,0.0,0.0,8.12,8.12,1,0,0,1,0.2628
ALMIRANTE BROWN,1019.0,246.0,13.0,5.28,0,2,2,0,0,6,4,16,0,2,0.241,0.241,1.96,0.0,0.0,5.89,19.63,1,0,0,1,0.2451
ALTA CORDOBA,34575.0,12560.0,372.0,2.96,0,33,13,20,0,31,9,544,1,0,0.363,0.363,0.95,0.0,0.29,0.9,0.0,1,0,1,1,0.1033
ALTAMIRA,6103.0,1895.0,36.0,1.9,0,2,1,1,1,17,4,91,0,0,0.311,0.311,0.33,1.64,0.0,2.79,0.0,1,1,0,1,0.1293
ALTO ALBERDI,30472.0,10101.0,389.0,3.85,0,40,15,25,1,48,14,369,2,2,0.331,0.331,1.31,0.33,0.66,1.58,0.66,1,1,1,1,0.1782
ALTO DE DON BOSCO,675.0,212.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.314,0.314,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
ALTO DE SANTA ANA,1508.0,424.0,20.0,4.72,0,0,0,0,0,6,2,63,0,0,0.281,0.281,0.0,0.0,0.0,3.98,0.0,0,0,0,1,0.0737
