barrio,poblacion,hogares,nbi,pct_nbi,escuelas_total,escuelas_estatales,escuelas_privadas,dispensarios_municipales,paradas_colectivo,lineas_colectivo,luminarias_reportes,comisarias,centros_vecinales,poblacion_log,pct_escuelas_privadas,escuelas_por_1000_hab,dispensarios_por_10000_hab,comisarias_por_10000_hab,paradas_por_1000_hab,centros_vecinales_por_10000_hab,tiene_escuela,tiene_dispensario,tiene_comisaria,tiene_transporte,infraestructura_score,centroide_lat,centroide_lon,area_barrio_km2,densidad_poblacional,densidad_hogares,infraestructura_por_km2,educacion_ratio_publico_privado,tamano_promedio_hogar,cluster_barrio,cluster_barrio_str,cluster_descripcion,categoria_infraestructura,tooltip_html
1 DE MAYO,3.397195512891604,2.560454944934963,2.202029229100918,0.16883369876307763,0.8320298302692002,1.0758257193341945,0.3977986178312334,-0.48584923172746025,0.4533168296410579,-0.19473719256359964,-0.3149675279585204,-0.28378320797232354,1.682563641638338,2.568492187776073,0.6209718553965115,-0.49941130387521077,-0.4167327248757193,-0.2757577768833604,-0.9182151359681601,-0.5236302998930843,0.8528028654224415,-0.49430000374546906,-0.2968260885977624,0.2968260885977624,-1.0190069133474329,-31.436,-64.1177,0.28325560856813947,2.1599521309939633,1.5246548890684293,-0.510041435795275,-0.04067584710878904,0.5444091562256971,0.35011742918165384,Cluster 3,Transición Urbana Mixta,Muy Baja,<b>1 DE MAYO</b><hr>Tipología: <span style='color:#38bdf8'>Transición Urbana Mixta</span><br>Pob: 19996.0<br>Score Infra: <b style='color:#e2e8f0'>Muy Baja</b>
2 DE SEPTIEMBRE,-0.06385286628977761,-0.18320999953016476,0.5556222412652161,2.8813557249323947,-0.35247373213133265,-0.31179283249633316,-0.31679235383650955,1.9142459730061934,-0.008983983411548631,-0.19473719256359964,-0.5454591245138511,-0.28378320797232354,0.32441586554464696,0.47380747937004186,-0.44690291629477147,-0.4769796275526727,1.669885428591569,-0.2757577768833604,-0.39813039097117386,-0.1749403170219131,0.8528028654224415,2.0230629019273323,-0.2968260885977624,0.2968260885977624,0.011854339239590346,-31.3336,-64.2419,-0.25677370873409466,0.8126325132502833,0.16918408939783575,-0.18268260918521775,-0.04067584710878904,2.050531893030847,-1.6926937127365,Cluster 0,Vulnerabilidad y Periferia NBI,Alta,<b>2 DE SEPTIEMBRE</b><hr>Tipología: <span style='color:#38bdf8'>Vulnerabilidad y Periferia NBI</span><br>Pob: 2624.0<br>Score Infra: <b style='color:#e2e8f0'>Alta</b>
20 DE JUNIO,-0.45494416080584094,-0.39663060868262456,-0.19135870691950044,1.5640982965377526,-0.5498909925314214,-0.6586974704539651,-0.31679235383650955,1.9142459730061934,0.4533168296410579,0.18853042945400297,-0.515131282861834,-0.28378320797232354,-1.0337319105490443,-0.9481016478139537,-0.44690291629477147,-0.7611141943048213,3.2290985212218493,-0.2757577768833604,2.6410668946896796,-0.6477192617689459,-1.1726039399558572,2.0230629019273323,-0.2968260885977624,0.2968260885977624,2.350620806046399,-31.3867,-64.1638,-0.37812861149864163,1.926724226355951,1.5603841808283443,5.3570189135349775,-0.6046351081736687,0.04236824395731384,-1.0117566654304488,Cluster 1,Núcleo Consolidado (Alta Infraestructura),Muy Alta,<b>20 DE JUNIO</b><hr>Tipología: <span style='color:#38bdf8'>Núcleo Consolidado (Alta Infraestructura)</span><br>Pob: 661.0<br>Score Infra: <b style='color:#e2e8f0'>Muy Alta</b>
23 DE ABRIL,-0.2122802806629142,-0.2734187106152251,0.12115373058635034,1.9665443749301936,-0.5498909925314214,-0.6586974704539651,-0.31679235383650955,-0.48584923172746025,-0.7486652842957191,-0.5780048145812022,-0.3634920746017479,-0.28378320797232354,0.32441586554464696,0.1291647736520047,-0.44690291629477147,-0.7611141943048213,-0.4167327248757193,-0.2757577768833604,-0.7954812728420275,0.012434015410637989,-1.1726039399558572,-0.49430000374546906,-0.2968260885977624,0.2968260885977624,-1.070013069074395,-31.4577,-64.128,-0.29318017956345876,0.7141196348744194,0.11766058483520936,-0.46453573683762706,-0.6046351081736687,1.998596626244462,-1.6926937127365,Cluster 0,Vulnerabilidad y Periferia NBI,Muy Baja,<b>23 DE ABRIL</b><hr>Tipología: <span style='color:#38bdf8'>Vulnerabilidad y Periferia NBI</span><br>Pob: 1879.0<br>Score Infra: <b style='color:#e2e8f0'>Muy Baja</b>
25 DE MAYO,-0.4870204208247335,-0.39663060868262456,-0.16849194319956015,1.8300318285151365,0.4371953094690225,1.0758257193341945,-0.31679235383650955,-0.48584923172746025,0.08347617919897267,-0.5780048145812022,-0.5211968511922374,-0.28378320797232354,4.398859193825721,-1.2349599477828588,-0.44690291629477147,2.830571046205563,-0.4167327248757193,-0.2757577768833604,2.6410668946896796,9.279397688299984,0.8528028654224415,-0.49430000374546906,-0.2968260885977624,0.2968260885977624,2.9471243746006617,-31.4901,-64.0823,-0.29318017956345876,-0.8122900359736387,-0.5612723382160442,1.001876593138675,2.2151611971507297,-1.342572203679605,-1.0117566654304488,Cluster 1,Núcleo Consolidado (Alta Infraestructura),Muy Alta,<b>25 DE MAYO</b><hr>Tipología: <span style='color:#38bdf8'>Núcleo Consolidado (Alta Infraestructura)</span><br>Pob: 500.0<br>Score Infra: <b style='color:#e2e8f0'>Muy Alta</b>
4 DE FEBRERO,-0.41649249506890756,-0.39278023686801833,-0.28282576179926167,0.45249613287228735,-0.5498909925314214,-0.6586974704539651,-0.31679235383650955,-0.48584923172746025,-0.8411254469062404,-0.38637100357240095,-0.47873787287941333,-0.28378320797232354,0.32441586554464696,-0.6839443643893505,-0.44690291629477147,-0.7611141943048213,-0.4167327248757193,-0.2757577768833604,-0.6819524494503552,0.8053624817973939,-1.1726039399558572,-0.49430000374546906,-0.2968260885977624,0.2968260885977624,-0.9964568234470917,-31.4561,-64.1457,-0.25070596359586733,-0.6851302405747152,-0.7157282824846289,-0.4613609206312794,-0.6046351081736687,1.4792439583806176,1.0310544764877052,Cluster 4,Transición Urbana Mixta,Muy Baja,<b>4 DE FEBRERO</b><hr>Tipología: <span style='color:#38bdf8'>Transición Urbana Mixta</span><br>Pob: 854.0<br>Score Infra: <b style='color:#e2e8f0'>Muy Baja</b>
ACHAVAL PENA,-0.43641563793778493,-0.3867296525879228,-0.32855928923914224,-0.10419139406703662,-0.5498909925314214,-0.6586974704539651,-0.31679235383650955,-0.48584923172746025,-0.47128479646415516,-0.5780048145812022,-0.07234479474238271,-0.28378320797232354,-1.0337319105490443,-0.8118955485481432,-0.44690291629477147,-0.7611141943048213,-0.4167327248757193,-0.2757577768833604,0.18025293901072506,-0.6477192617689459,-1.1726039399558572,-0.49430000374546906,-0.2968260885977624,0.2968260885977624,-0.43753673806006504,-31.4362,-64.2041,4.500338479636148,-1.347145390485554,-1.1527396931660665,-0.5160383108517093,-0.6046351081736687,0.31935633348469794,1.0310544764877052,Cluster 4,Transición Urbana Mixta,Baja,<b>ACHAVAL PENA</b><hr>Tipología: <span style='color:#38bdf8'>Transición Urbana Mixta</span><br>Pob: 754.0<br>Score Infra: <b style='color:#e2e8f0'>Baja</b>
ACOSTA,0.5115274997634016,0.3288894518124643,0.6394670415716639,0.6811989703728375,0.8320298302692002,1.7696349952494583,-0.31679235383650955,-0.48584923172746025,0.6382371548621005,-0.19473719256359964,-0.45447559955779954,-0.28378320797232354,0.32441586554464696,1.2394508555460393,-0.44690291629477147,0.18849343668262283,-0.4167327248757193,-0.2757577768833604,-0.5392743335662262,-0.42311824077363636,0.8528028654224415,-0.49430000374546906,-0.2968260885977624,0.2968260885977624,-0.4305569483290071,-31.4236,-64.1235,-0.026199393481455353,0.4055805036016434,0.16918408939783575,-0.43772617776180334,3.3430797192804893,0.6136561786075432,0.35011742918165384,Cluster 3,Transición Urbana Mixta,Media,<b>ACOSTA</b><hr>Tipología: <span style='color:#38bdf8'>Transición Urbana Mixta</span><br>Pob: 5512.0<br>Score Infra: <b style='color:#e2e8f0'>Media</b>
AERONAUTICO- VILLA ZEPELLIN,-0.40174936934593825,-0.3658276341657747,-0.3514260529590825,-0.43394897371899277,0.23977804906893374,0.7289210813765625,-0.31679235383650955,-0.48584923172746025,-0.10144414602206994,-0.5780048145812022,-0.5454591245138511,-0.28378320797232354,-1.0337319105490443,-0.5982996201540307,-0.44690291629477147,2.4615699706998115,-0.4167327248757193,-0.2757577768833604,0.6128898065303416,-0.6477192617689459,0.8528028654224415,-0.49430000374546906,-0.2968260885977624,0.2968260885977624,1.448617210032754,-31.4304,-64.2709,-0.23250272818118525,-0.7053950752555846,-0.6686511625279472,0.10587290823614742,1.65120193608585,0.596344423012082,-1.0117566654304488,Cluster 1,Núcleo Consolidado (Alta Infraestructura),Muy Alta,<b>AERONAUTICO- VILLA ZEPELLIN</b><hr>Tipología: <span style='color:#38bdf8'>Núcleo Consolidado (Alta Infraestructura)</span><br>Pob: 928.0<br>Score Infra: <b style='color:#e2e8f0'>Muy Alta</b>
AEROPUERTO,-0.4870204208247335,-0.39663060868262456,-0.3666705621057094,-0.4747254486221917,-0.35247373213133265,-0.31179283249633316,-0.31679235383650955,-0.48584923172746025,-0.28636447124311254,-0.38637100357240095,-0.5454591245138511,-0.28378320797232354,-1.0337319105490443,-1.2349599477828588,-0.44690291629477147,0.7343308938643821,-0.4167327248757193,-0.2757577768833604,1.4137282634283557,-0.6477192617689459,0.8528028654224415,-0.49430000374546906,-0.2968260885977624,0.2968260885977624,1.1071444201133025,-31.325,-64.1957,1.4846691459371548,-1.3337065634358571,-1.1323736149648507,-0.47300191338788705,-0.04067584710878904,-1.342572203679605,-1.0117566654304488,Cluster 1,Núcleo Consolidado (Alta Infraestructura),Muy Alta,<b>AEROPUERTO</b><hr>Tipología: <span style='color:#38bdf8'>Núcleo Consolidado (Alta Infraestructura)</span><br>Pob: 500.0<br>Score Infra: <b style='color:#e2e8f0'>Muy Alta</b>
AIRES DEL SUR,-0.4870204208247335,-0.39663060868262456,-0.4047818349722766,-0.9179480019178317,-0.5498909925314214,-0.6586974704539651,-0.31679235383650955,-0.48584923172746025,-0.8411254469062404,-0.38637100357240095,-0.5454591245138511,-0.28378320797232354,-1.0337319105490443,-1.2349599477828588,-0.44690291629477147,-0.7611141943048213,-0.4167327248757193,-0.2757577768833604,-0.4272796834636304,-0.6477192617689459,-1.1726039399558572,-0.49430000374546906,-0.2968260885977624,0.2968260885977624,-0.8310894975112567,-31.4642,-64.1844,-0.365993121222187,0.2946050806452233,0.651101256755997,-0.08673260828226986,-0.6046351081736687,-1.342572203679605,1.0310544764877052,Cluster 4,Transición Urbana Mixta,Muy Baja,<b>AIRES DEL SUR</b><hr>Tipología: <span style='color:#38bdf8'>Transición Urbana Mixta</span><br>Pob: 500.0<br>Score Infra: <b style='color:#e2e8f0'>Muy Baja</b>
ALBERDI,5.9340092943857625,8.021932337395718,6.1351125889306495,0.0624602859721241,6.951964902671952,4.197967460952882,8.258299306176404,-0.48584923172746025,3.319581870567218,4.404474271647632,1.6017520644489673,5.9468347803978014,1.682563641638338,3.0772013312461097,1.9128762994705815,0.10624395683331657,-0.4167327248757193,1.3884258407210421,-0.820028045467254,-0.5720249950246703,0.8528028654224415,-0.49430000374546906,3.368976105584603,0.2968260885977624,-0.41981881028122564,-31.4084,-64.2022,1.1145366925052866,1.242649077468946,2.2161577141222546,-0.5012225018887541,-0.8302188125996206,-2.0177306719026036,0.35011742918165384,Cluster 3,Transición Urbana Mixta,Media,<b>ALBERDI</b><hr>Tipología: <span style='color:#38bdf8'>Transición Urbana Mixta</span><br>Pob: 32729.0<br>Score Infra: <b style='color:#e2e8f0'>Media</b>
ALBORADA NORTE,-0.4870204208247335,-0.39663060868262456,-0.3895373258256497,-0.7406589805995757,-0.5498909925314214,-0.6586974704539651,-0.31679235383650955,-0.48584923172746025,0.5457769922515792,0.18853042945400297,-0.5454591245138511,-0.28378320797232354,-1.0337319105490443,-1.2349599477828588,-0.44690291629477147,-0.7611141943048213,-0.4167327248757193,-0.2757577768833604,2.6410668946896796,-0.6477192617689459,-1.1726039399558572,-0.49430000374546906,-0.2968260885977624,0.2968260885977624,1.1570767620354865,-31.3417,-64.2683,-0.365993121222187,0.2946050806452233,0.651101256755997,2.09048579455962,-0.6046351081736687,-1.342572203679605,-1.0117566654304488,Cluster 1,Núcleo Consolidado (Alta Infraestructura),Muy Alta,<b>ALBORADA NORTE</b><hr>Tipología: <span style='color:#38bdf8'>Núcleo Consolidado (Alta Infraestructura)</span><br>Pob: 500.0<br>Score Infra: <b style='color:#e2e8f0'>Muy Alta</b>
ALBORADA SUR,-0.4870204208247335,-0.39663060868262456,-0.39715958039896315,-0.8293034912587037,-0.5498909925314214,-0.6586974704539651,-0.31679235383650955,-0.48584923172746025,-0.37882463385363385,-0.19473719256359964,-0.405951052914572,-0.28378320797232354,-1.0337319105490443,-1.2349599477828588,-0.44690291629477147,-0.7611141943048213,-0.4167327248757193,-0.2757577768833604,1.1068936056130247,-0.6477192617689459,-1.1726039399558572,-0.49430000374546906,-0.2968260885977624,0.2968260885977624,0.16326208571330925,-31.3621,-64.2251,-0.365993121222187,0.2946050806452233,0.651101256755997,1.002229350494936,-0.6046351081736687,-1.342572203679605,1.0310544764877052,Cluster 4,Transición Urbana Mixta,Alta,<b>ALBORADA SUR</b><hr>Tipología: <span style='color:#38bdf8'>Transición Urbana Mixta</span><br>Pob: 500.0<br>Score Infra: <b style='color:#e2e8f0'>Alta</b>
