barrio,poblacion,hogares,nbi,pct_nbi,escuelas_total,escuelas_estatales,escuelas_privadas,dispensarios_municipales,paradas_colectivo,lineas_colectivo,luminarias_reportes,comisarias,centros_vecinales,hogares_por_poblacion,poblacion_log,pct_escuelas_privadas,escuelas_por_1000_hab,dispensarios_por_10000_hab,comisarias_por_10000_hab,paradas_por_1000_hab,centros_vecinales_por_10000_hab,tiene_escuela,tiene_dispensario,tiene_comisaria,tiene_transporte,infraestructura_score,centroide_lat,centroide_lon,area_barrio_km2,densidad_poblacional,infraestructura_por_km2,outlier_flag,cluster_barrio,cluster_descripcion,categoria_infraestructura,tooltip_html
1 DE MAYO,3.3788524434880727,2.5455135646794878,2.1897669837031786,0.16922287126528923,0.8248861171391112,1.0689531712988085,0.39275916217071455,-0.4889171865444709,0.4457179959649944,-0.20042968347886214,-0.31940471773047346,-0.2853478608449372,1.6748596541598555,-0.6275123222537679,2.558551086262831,0.6139020778240882,-0.5023409759346499,-0.41923022653073,-0.27727181040083376,-0.9201833783002596,-0.5236368020780688,0.8460434230488473,-0.49744243847086145,-0.29847421946995023,0.29027091864054483,-1.0236017594186895,-31.4359592193562,-64.1176949424045,0.27953048004065584,2.1486436536638664,-0.5109540662571735,-1,0.3229879685276647,Suburbio Popular Consolidado,Muy Baja,<b>1 DE MAYO</b><hr>Tipología: <span style='color:#38bdf8'>Suburbio Popular Consolidado</span><br>Pob: 19996.0<br>Score Infra: <b style='color:#e2e8f0'>Muy Baja</b>
2 DE SEPTIEMBRE,-0.06786061154282395,-0.1861339528612233,0.5505727335797597,2.8971855437901533,-0.35513137076247453,-0.31481413714624074,-0.3185713204273574,1.901887855657992,-0.01566240205973512,-0.20042968347886214,-0.5490765103497621,-0.2853478608449372,0.3188888414377209,-1.5820905975374284,0.46520778529056483,-0.4496412372007491,-0.47983143565910086,1.6586469539242867,-0.27727181040083376,-0.3995433496154725,-0.17570613763860599,0.8460434230488473,2.0102828441296667,-0.29847421946995023,0.29027091864054483,0.008843435000768242,-31.3336313559965,-64.2419277567805,-0.25790749583182104,0.8034810234455936,-0.18499253544599778,1,1.7854057149168137,Periferia Vulnerable,Alta,<b>2 DE SEPTIEMBRE</b><hr>Tipología: <span style='color:#38bdf8'>Periferia Vulnerable</span><br>Pob: 2624.0<br>Score Infra: <b style='color:#e2e8f0'>Alta</b>
20 DE JUNIO,-0.4573320441369783,-0.3986197661743339,-0.19313576879105077,1.5724298145836342,-0.5518009520794055,-0.660755964257503,-0.3185713204273574,1.901887855657992,0.4457179959649944,0.18167602888434883,-0.5188565376366978,-0.2853478608449372,-1.0370819712844137,-0.21096907485726216,-0.9557907707388849,-0.4496412372007491,-0.7649522791493887,3.21132840609106,-0.27727181040083376,2.6428988239083124,-0.647455543871472,-1.181972429259419,2.0102828441296667,-0.29847421946995023,0.29027091864054483,2.3512034698399122,-31.38667683145,-64.1637940986309,-0.37868007467956866,1.915789134579108,5.331063369574158,-1,-0.40822090466690975,Núcleo Urbano Consolidado,Muy Alta,<b>20 DE JUNIO</b><hr>Tipología: <span style='color:#38bdf8'>Núcleo Urbano Consolidado</span><br>Pob: 661.0<br>Score Infra: <b style='color:#e2e8f0'>Muy Alta</b>
23 DE ABRIL,-0.21567325407091617,-0.2759475440554247,0.1180075842416352,1.9771667601151008,-0.5518009520794055,-0.660755964257503,-0.3185713204273574,-0.4889171865444709,-0.7538710388993024,-0.5825353958420731,-0.36775667407137635,-0.2853478608449372,0.3188888414377209,-1.5473786602543862,0.12078578404685159,-0.4496412372007491,-0.7649522791493887,-0.41923022653073,-0.27727181040083376,-0.797318474775826,0.011260162469432766,-1.181972429259419,-0.49744243847086145,-0.29847421946995023,0.29027091864054483,-1.0746862872675689,-31.4576861165788,-64.1279620826956,-0.2941392694861453,0.7051258589833032,-0.4656426034612235,1,1.7854057149168137,Periferia Vulnerable,Muy Baja,<b>23 DE ABRIL</b><hr>Tipología: <span style='color:#38bdf8'>Periferia Vulnerable</span><br>Pob: 1879.0<br>Score Infra: <b style='color:#e2e8f0'>Muy Baja</b>
25 DE MAYO,-0.48927544742157275,-0.3986197661743339,-0.17036918198378107,1.8398771354194052,0.43154695450524927,1.0689531712988085,-0.3185713204273574,-0.4889171865444709,0.07661367754521078,-0.5825353958420731,-0.5249005321793108,-0.2853478608449372,4.386801279604125,1.4725598833702847,-1.2424653705764666,-0.4496412372007491,2.839200277970605,-0.41923022653073,-0.27727181040083376,2.6428988239083124,9.258043799600777,0.8460434230488473,-0.49744243847086145,-0.29847421946995023,0.29027091864054483,2.9486235797357554,-31.4900986725101,-64.0823231112529,-0.2941392694861453,-0.8188401106261477,0.9945105038470284,-1,-0.40822090466690975,Núcleo Urbano Consolidado,Muy Alta,<b>25 DE MAYO</b><hr>Tipología: <span style='color:#38bdf8'>Núcleo Urbano Consolidado</span><br>Pob: 500.0<br>Score Infra: <b style='color:#e2e8f0'>Muy Alta</b>
4 DE FEBRERO,-0.4190396414417813,-0.39478625923311805,-0.2842021160201296,0.4545000134901117,-0.5518009520794055,-0.660755964257503,-0.3185713204273574,-0.4889171865444709,-0.8461471185042483,-0.39148253966046764,-0.4825925703810207,-0.2853478608449372,0.3188888414377209,-1.269683161990049,-0.6918026500251407,-0.4496412372007491,-0.7649522791493887,-0.41923022653073,-0.27727181040083376,-0.6836684390157252,0.8024619225292788,-1.181972429259419,-0.49744243847086145,-0.29847421946995023,0.29027091864054483,-1.0010170207907636,-31.4561267034649,-64.1456965562471,-0.25186886688943366,-0.6918838913414562,-0.46248133861499435,1,-1.1394297778614841,Anillo Denso Residencial,Muy Baja,<b>4 DE FEBRERO</b><hr>Tipología: <span style='color:#38bdf8'>Anillo Denso Residencial</span><br>Pob: 854.0<br>Score Infra: <b style='color:#e2e8f0'>Muy Baja</b>
ACHAVAL PENA,-0.43888026459991447,-0.3887621768969216,-0.329735289634669,-0.10535637812610231,-0.5518009520794055,-0.660755964257503,-0.3185713204273574,-0.4889171865444709,-0.47704280008446465,-0.5825353958420731,-0.0776449360259591,-0.2853478608449372,-1.0370819712844137,-0.4539526358385577,-0.819671895995861,-0.4496412372007491,-0.7649522791493887,-0.41923022653073,-0.27727181040083376,0.1794575082434204,-0.647455543871472,-1.181972429259419,-0.49744243847086145,-0.29847421946995023,0.29027091864054483,-0.44123814194146405,-31.436225387803,-64.2040585961533,4.476377594999886,-1.3528391899733687,-0.5169253443000507,1,-1.1394297778614841,Anillo Denso Residencial,Baja,<b>ACHAVAL PENA</b><hr>Tipología: <span style='color:#38bdf8'>Anillo Denso Residencial</span><br>Pob: 754.0<br>Score Infra: <b style='color:#e2e8f0'>Baja</b>
ACOSTA,0.5051365852640624,0.3237224703204932,0.6340502185397486,0.6845047094088746,0.8248861171391112,1.7608368255213334,-0.3185713204273574,-0.4889171865444709,0.6302701551748863,-0.20042968347886214,-0.45841659221056924,-0.2853478608449372,0.3188888414377209,-0.6795802281783312,1.230360853921807,-0.4496412372007491,0.1879515925155208,-0.41923022653073,-0.27727181040083376,-0.5408379886685711,-0.42334362122541225,0.8460434230488473,-0.49744243847086145,-0.29847421946995023,0.29027091864054483,-0.434247627604249,-31.4236045698365,-64.1235108429697,-0.02843959602110056,0.39708068255872403,-0.43894747809306683,1,0.3229879685276647,Suburbio Popular Consolidado,Media,<b>ACOSTA</b><hr>Tipología: <span style='color:#38bdf8'>Suburbio Popular Consolidado</span><br>Pob: 5512.0<br>Score Infra: <b style='color:#e2e8f0'>Media</b>
AEROPUERTO,-0.48927544742157275,-0.3986197661743339,-0.36767960098011854,-0.4779996451572765,-0.35513137076247453,-0.31481413714624074,-0.3185713204273574,-0.4889171865444709,-0.2924906408745728,-0.39148253966046764,-0.5490765103497621,-0.2853478608449372,-1.0370819712844137,1.4725598833702847,-1.2424653705764666,-0.4496412372007491,0.7356837392205475,-0.41923022653073,-0.27727181040083376,1.414249788663977,-0.647455543871472,0.8460434230488473,-0.49744243847086145,-0.29847421946995023,0.29027091864054483,1.105816454071442,-31.3249626672809,-64.1957356859382,1.4751790106333573,-1.3394218777757683,-0.4740726430511677,1,-0.40822090466690975,Núcleo Urbano Consolidado,Muy Alta,<b>AEROPUERTO</b><hr>Tipología: <span style='color:#38bdf8'>Núcleo Urbano Consolidado</span><br>Pob: 500.0<br>Score Infra: <b style='color:#e2e8f0'>Muy Alta</b>
AIRES DEL SUR,-0.48927544742157275,-0.3986197661743339,-0.40562391232556805,-0.9237451798835615,-0.5518009520794055,-0.660755964257503,-0.3185713204273574,-0.4889171865444709,-0.8461471185042483,-0.39148253966046764,-0.5490765103497621,-0.2853478608449372,-1.0370819712844137,1.4725598833702847,-1.2424653705764666,-0.4496412372007491,-0.7649522791493887,-0.41923022653073,-0.27727181040083376,-0.4287237642025255,-0.647455543871472,-1.181972429259419,-0.49744243847086145,-0.29847421946995023,0.29027091864054483,-0.8353956041859758,-31.4642440553401,-64.1844348530897,-0.36660281679479395,0.28628292539132033,-0.08945208675996344,1,-1.1394297778614841,Anillo Denso Residencial,Muy Baja,<b>AIRES DEL SUR</b><hr>Tipología: <span style='color:#38bdf8'>Anillo Denso Residencial</span><br>Pob: 500.0<br>Score Infra: <b style='color:#e2e8f0'>Muy Baja</b>
