escuela,barrio,direccion,zona
PEDRO CARANDE CARRO,CENTRO AMERICA,Enrique Martinez Paz 80,CE - Zona 2
ANGEL GASTALDI,COLONIA LOLA,San Jerónimo 5550,CE - Zona 4
JULIO GONZALEZ,ARENALES,El Crespín s/n,CE - Zona 2
GOB. JUSTO PAEZ MOLINA,LAS PALMAS,Quebracho Herrado 200,CE - Zona 1
DR. RAUL V. MARTINEZ,QTAS DE ARGUELLO,Nilo Pecanha 7750,CE - Zona 1
SANTIAGO DEL CASTILLO,ROSEDAL,Octaviano Navarro 2575,CE - Zona 4
COOP. ARGENTINO,RENACIMIENTO,Pje Matheu 5030,CE - Zona 3
DR. CESAR E. ROMERO,SACHI,El Dorado 6052,CE - Zona 4
DR. ANTONIO SOBRAL,PARQUE DEL ESTE,Calle Pública s/n,CE - Zona 2
DR. RAUL FERNANDEZ,Vª ALLENDE PARQUE,Cruz Alta 8500,CE - Zona 1
DR. ALFREDO ORGAZ,SAN JORGE II,Julián Laguna 2600,CE - Zona 2
BRIG. SAN MARTIN,JOSE HERNANDEZ,Trenque Lauquen 3200,CE - Zona 3
OSCAR SOTO LOPEZ,LOS SAUCES,Los Caldenes 5320,CE - Zona 3
ING. JUAN MASJOAN,LOS BOULEVARES,Ca 2 y De los Sicilianos,CE - Zona 1
GOB. ARTURO ZANICHELLI,LICEO,Alfonsina Storni 1300,CE - Zona 2
DR. DONATO L. FRIAS,PATRICIOS,Díaz Vélez 2500,CE - Zona 2
DR. E. MOLINARI ROMERO,SAN CARLOS,Pampayasta 2640,CE - Zona 3
ESCR. ANTONIO PAREDES,Vª AZALAIS,Francisco del Prado 3900,CE - Zona 2
JORGE LUIS BORGES,SAN JORGE I,Barranca del Paraná 3193,CE - Zona 2
AZOR GRIMAUT,COMERCIAL,Sobremonte 6100,CE - Zona 4
DR. ARTURO ILLIA,JOSE I. DIAZ III,Martín de Maguna 2755,CE - Zona 3
DR. CARLOS BECERRA,LOS PLATANOS,Juan B. Gaona 1268,CE - Zona 4
DR. CARLOS ORDOÑEZ,STA ISABEL,Casablanca e Isla Verde,CE - Zona 4
MUTUALISMO ARGENTINO,STO CABRAL,Antonio Arcos 3157,CE - Zona 2
LUZ VIEIRA MENDEZ,SAN ROQUE,Aviador Kingley s/n,CE - Zona 4
REPUBLICA DE ITALIA,CONGRESO,Realicó 1580,CE - Zona 4
ALICIA MOREAU,Vª EL LIBERTADOR,Pilcomayo 5100,CE - Zona 4
DR. AMADEO SABATTINI,JOSE I. DIAZ IV,Diego Pacheco 4980,CE - Zona 3
ARSENIO MURUGARREM,STA CECILIA,Amadeo Grass 4273,CE - Zona 1
DR. HORACIO GARCIA,Vª CORNU,Tabacué 9150 y Cauque,CE - Zona 1
DR. JORGE ORGAZ,Vª RIVERA INDARTE,Laguna Larga 8900,CE - Zona 1
DR. EMILIO B. LAZCANO,Vª URQUIZA,Humberto Primero 4600,CE - Zona 1
DR. JUAN B. JUSTO,Vª SIBURU,Igualdad 4100,CE - Zona 1
SAUL TABORDA,Vª 9 DE JULIO,Coquena 7900 y Charrúas,CE - Zona 1
MTRO. MANUEL OLIVA,MERCANTIL,Tomassini 6551,CE - Zona 1
DOMINGO F. SARMIENTO,JOSE I. DIAZ V,Abarca y Velazco 5267,CE - Zona 3
