cueanexo,nombre,est_sector,est_ambito,est_barrio,est_localidad,nivel,lat,lon,barrio_asignado
140225506,ESCUELA NOCTURNA LUIS MARIA DRAGO ANEXO EXT. AULICA VICENTE FORESTIERI,Estatal,Urbano,VILLA EL LIBERTADOR,CORDOBA,"[""6. Jóvenes y Adultos - Primario""]",-31.4802,-64.2247,SANTA ISABEL SECCION 1
140000200,INSTITUTO LUTERANO CONCORDIA,Privado,Urbano,ALTO ALBERDI,CORDOBA,"[""2. Común - Secundario""]",-31.4164,-64.212,ALBERDI
140002500,INSTITUTO GRAL. MANUEL BELGRANO,Privado,Urbano,PUEYRREDON,CORDOBA,"[""2. Común - Secundario""]",-31.4039,-64.1585,GENERAL PUEYRREDON
140005200,I.P.E.M. Nº 199 DR. JUAN EMILIO REMONDA,Estatal,Urbano,PANAMERICANO,CORDOBA,"[""2. Común - Secundario""]",-31.368,-64.1822,HIPOLITO IRIGOYEN
140005500,INSTITUTO PEDRO IGNACIO DE  CASTRO BARROS (EX-NOCT.FEMENINO),Privado,Urbano,CENTRO,CORDOBA,"[""2. Común - Secundario"",""7. Jóvenes y Adultos - Secundario""]",-31.4148,-64.1774,URQUIZA
140007000,INSTITUTO SECUNDARIO OLEGARIO VICTOR ANDRADE,Privado,Urbano,VILLA RETIRO,CORDOBA,"[""2. Común - Secundario""]",-31.3418,-64.1499,PARQUE LICEO SECCION 3
140007300,INSTITUTO ESPIRITU SANTO,Privado,Urbano,PARQUE LICEO 1RA. SECCION,CORDOBA,"[""2. Común - Secundario""]",-31.3511,-64.1739,PARQUE LICEO SECCION 2
140007600,INSTITUTO MODELO DE JUEGOS Y DEPORTES RACING,Privado,Urbano,NUEVA ITALIA,CORDOBA,"[""2. Común - Secundario""]",-31.389,-64.1429,LOS PINOS
140007900,INSTITUTO HORTUS CONCLUSUS,Privado,Urbano,GENERAL BUSTOS,CORDOBA,"[""2. Común - Secundario""]",-31.3951,-64.1755,GENERAL BUSTOS
140011400,INSTITUTO CRISTO REY,Privado,Urbano,GENERAL BUSTOS,CORDOBA,"[""2. Común - Secundario""]",-31.3916,-64.1706,GENERAL BUSTOS
140011600,I.P.E.M. Nº 191 MONSEÑOR ENRIQUE ANGELELLI,Estatal,Urbano,ARTURO CAPDEVILA,CORDOBA,"[""2. Común - Secundario""]",-31.3758,-64.1317,RESIDENCIAL SAN JORGE
140011800,C.E.N.M.A. POLICIA DE LA PROVINCIA DE CORDOBA,Estatal,Urbano,CENTRO,CORDOBA,"[""7. Jóvenes y Adultos - Secundario""]",-31.4099,-64.1839,URQUIZA
140011900,C.E.N.M.A. Nº 107,Estatal,Urbano,CENTRO,CORDOBA,"[""7. Jóvenes y Adultos - Secundario""]",-31.4215,-64.1758,GUEMES
140011901,C.E.N.M.A. Nº 107 - ANEXO COLINAS DE BELLA VISTA,Estatal,Urbano,COLINAS DE BELLA VISTA,CORDOBA,"[""7. Jóvenes y Adultos - Secundario""]",-31.4301,-64.209,BELLA VISTA
140011902,C.E.N.M.A. Nº 107 ANEXO SEDE CAPITAL HUMANO,Estatal,Urbano,CENTRO,CORDOBA,"[""7. Jóvenes y Adultos - Secundario""]",-31.4191,-64.176,URQUIZA
140011903,C.E.N.M.A. Nº 107 ANEXO SEDE EDUCACION A DISTANCIA,Estatal,Urbano,CENTRO,CORDOBA,"[""7. Jóvenes y Adultos - Secundario""]",-31.4196,-64.1789,URQUIZA
140011904,C.E.N.M.A. Nº 107 ANEXO SEDE EDUCACION A DISTANCIA N° 2,Estatal,Urbano,CENTRO,CORDOBA,"[""7. Jóvenes y Adultos - Secundario""]",-31.416,-64.1768,URQUIZA
140011703,ESCUELA NOCTURNA JOSE HERNANDEZ ANEXO EXTENSION AULICA BARRIO QUINTAS DEL ROSARIO,Estatal,Urbano,QUINTAS DEL ROSARIO,CORDOBA,"[""6. Jóvenes y Adultos - Primario""]",-31.3789,-64.0922,CENTRO
140015300,INSTITUTO ARTURO CAPDEVILA,Privado,Urbano,FERROVIARIO MITRE,CORDOBA,"[""2. Común - Secundario""]",-31.4352,-64.1363,JOSE IGNACIO DIAZ SECCION 1
140015400,INSTITUTO JORGE LUIS BORGES,Privado,Urbano,DEAN FUNES,CORDOBA,"[""2. Común - Secundario""]",-31.4457,-64.1202,VILLA BUSTOS
140015700,I.P.E.M. Nº 207 EDUARDO RAUL REQUENA,Estatal,Urbano,ITUZAINGO,CORDOBA,"[""2. Común - Secundario""]",-31.4603,-64.0869,ITUZAINGO ANEXO
140023200,INSTITUTO NUESTRA MADRE DE LA MERCED,Privado,Urbano,ALTA CORDOBA,CORDOBA,"[""2. Común - Secundario""]",-31.3878,-64.184,SAN MARTIN
140030300,INSTITUTO PARROQUIAL SAN ROQUE,Privado,Urbano,VILLA CORINA,CORDOBA,"[""2. Común - Secundario""]",-31.3779,-64.1427,NUEVA ITALIA
140041700,I.P.E.T. Nº 70  PROF. DR. HUMBERTO DIONISI,Estatal,Urbano,VILLA AZALAIS OESTE,CORDOBA,"[""2. Común - Secundario""]",-31.3728,-64.176,VILLA AZALAIS OESTE
140045200,INSTITUTO NUESTRA SEÑORA DE NIEVA,Privado,Urbano,GUEMES,CORDOBA,"[""2. Común - Secundario""]",-31.4197,-64.1918,URQUIZA
140045300,I.P.E.M. Nº 194 NICOLAS LOBOS PORTO,Estatal,Urbano,GUEMES,CORDOBA,"[""2. Común - Secundario""]",-31.4244,-64.1953,GUEMES
