barrio,escuelas
ARENALES,1
CENTRO AMERICA,1
COLONIA LOLA,1
COMERCIAL,1
CONGRESO,1
JOSE HERNANDEZ,1
JOSE I. DIAZ III,1
JOSE I. DIAZ IV,1
JOSE I. DIAZ V,1
LAS PALMAS,1
LICEO,1
LOS BOULEVARES,1
LOS PLATANOS,1
LOS SAUCES,1
MERCANTIL,1
PARQUE DEL ESTE,1
PATRICIOS,1
QUINTAS DE ARGUELLO,1
RENACIMIENTO,1
ROSEDAL,1
SACHI,1
SAN CARLOS,1
SAN JORGE I,1
SAN JORGE II,1
SAN ROQUE,1
SANTA CECILIA,1
SANTA ISABEL,1
SANTO CABRAL,1
VILLA 9 DE JULIO,1
VILLA ALLENDE PARQUE,1
VILLA AZALAIS,1
VILLA CORNU,1
VILLA EL LIBERTADOR,1
VILLA RIVERA INDARTE,1
VILLA SIBURU,1
VILLA URQUIZA,1
