barrio,poblacion_log,pct_nbi,infraestructura_score,densidad_poblacional
1 DE MAYO,9.903,6.13,0.0391,17695.58
20 DE JUNIO,6.495,14.0,0.6667,16525.0
25 DE MAYO,6.217,15.5,0.7778,2777.78
ALBERDI,10.396,5.53,0.1507,13091.6
BOEDO,7.888,27.16,0.0417,12109.09
CONSORCIO 16 DE NOVIEMBRE,6.667,5.63,0.9094,8722.22
DE LOS DOCENTES,6.217,0.0,0.1111,50000.0
EL PUEBLITO,7.182,37.35,0.0,3287.5
FERRER,7.52,30.09,0.3115,8780.95
GENERAL SAVIO,8.495,23.91,0.0341,15770.97
GUINAZU,7.217,10.99,0.8602,4002.94
JOSE I RUCCI,6.217,0.0,0.2963,50000.0
LAS CORTADERAS,6.217,9.0,0.8055,12500.0
LOS JACARANDAES,7.175,21.94,0.0,8700.0
MARIA LASTENIA,6.217,5.5,0.7778,218.34
MARQUES ANEXO,9.257,8.51,0.0069,17177.05
NUESTRO HOGAR III,9.318,21.88,0.0663,17682.54
NUEVA CORDOBA,10.52,1.23,0.0808,29883.06
VICOR,6.217,1.5,0.9259,10000.0
VILLA 4 DE AGOSTO,7.391,24.62,0.2517,16200.0
VILLA AVALOS,7.219,25.14,0.0,1921.13
VILLA EL LIBERTADOR,10.979,13.9,0.055,8354.42
VILLA LA MERCED,7.19,21.79,0.4629,2944.44
VILLA RIVADAVIA,6.777,21.68,1.0,4866.67
YAPEYU,10.131,5.9,0.04,29551.76
