stop_id,stop_name,stop_lat,stop_lon,barrio_asignado
C7079,Constancio C. Vigil 1219,-31.354796,-64.157136,PARQUE LICEO SECCION 3
C7082,Juan Montalvo 4702,-31.35448,-64.163852,PARQUE LICEO SECCION 2
C7080,Alfonsina Storni 1171,-31.355978,-64.158665,PARQUE LICEO SECCION 2
C7081,Alfonsina Storni 1013,-31.355346,-64.160838,PARQUE LICEO SECCION 2
C7085,Alfonsina Storni 261,-31.353839,-64.172055,PARQUE LICEO SECCION 2
C7083,Alfonsina Storni 665,-31.353871,-64.165966,PARQUE LICEO SECCION 2
C7086,Alfonsina Storni 29,-31.353797,-64.175456,VILLA AZALAIS OESTE
C7087,Avenida Juan B. Justo 5181,-31.362217,-64.17618,VILLA AZALAIS OESTE
C7084,Alfonsina Storni 509,-31.353802,-64.168122,PARQUE LICEO SECCION 2
C7088,Avenida Juan B. Justo 5001,-31.364965,-64.17618,VILLA AZALAIS OESTE
C7092,Avenida Juan B. Justo 4091,-31.376274,-64.176174,VILLA AZALAIS OESTE
C7089,Avenida Juan B. Justo 4773,-31.368181,-64.17618,VILLA AZALAIS OESTE
C7091,Avenida Juan B. Justo 4335,-31.373288,-64.176137,VILLA AZALAIS OESTE
C7090,Avenida Juan B. Justo 4491,-31.371533452706032,-64.17617440223695,VILLA AZALAIS OESTE
C7093,Avenida Juan B. Justo 3905,-31.379168,-64.176142,HIPOLITO IRIGOYEN
C7097,Tucumán 2415,-31.387293,-64.178438,GENERAL BUSTOS
C7094,Avenida Juan B. Justo 3781,-31.381422,-64.176121,GENERAL BUSTOS
C7096,Calderón de La Barca 248,-31.385149,-64.177709,GENERAL BUSTOS
C7098,Tucumán 2265,-31.389509,-64.17846,GENERAL BUSTOS
C7095,Avenida Juan B. Justo 3469,-31.384902,-64.176153,GENERAL BUSTOS
C7101,José Baigorri 109,-31.394825,-64.176963,GENERAL BUSTOS
C7099,Tucumán 2181,-31.391451,-64.178427,GENERAL BUSTOS
C7100,Tucumán 2045,-31.393617,-64.178449,GENERAL BUSTOS
C7104,Gino Galeotti 201,-31.398269,-64.172934,GENERAL BUSTOS
C7103,Gianelli 800,-31.396282,-64.172215,GENERAL BUSTOS
C7108,Faustino Allende 56,-31.403347,-64.177247,GENERAL BUSTOS
C7102,Gianelli 590,-31.395531,-64.174619,GENERAL BUSTOS
C7106,Suipacha 997,-31.401099,-64.174678,GENERAL BUSTOS
C7107,Cochabamba 911,-31.403489,-64.174758,GENERAL BUSTOS
C7105,Avenida Bulnes 1047,-31.399688,-64.174404,GENERAL BUSTOS
C7110,Faustino Allende 317,-31.401712,-64.182563,SAN MARTIN
C7111,Avenida Roque Sáenz Peña 1107,-31.402527,-64.183143,SAN MARTIN
C7109,Faustino Allende 169,-31.402486,-64.180096,SAN MARTIN
C6193,Avenida General Paz 675,-31.407476,-64.183609,URQUIZA
C7117,Avenida Duarte Quirós 671,-31.416857,-64.194354,URQUIZA
C7118,Avenida Duarte Quirós 994,-31.415525,-64.198453,URQUIZA
C7119,Avenida Duarte Quirós 1172,-31.414664,-64.200824,URQUIZA
C7123,Avenida Duarte Quirós 2192,-31.410219,-64.213436,ALBERDI
C7120,Avenida Duarte Quirós 1460,-31.413025,-64.204611,ALBERDI
C7122,Ocaña 299,-31.410942,-64.211193,ALBERDI
C7121,Avenida Duarte Quirós 1692,-31.41205,-64.207787,ALBERDI
C7124,Avenida Duarte Quirós 2472,-31.409198,-64.216644,ALBERDI
C7126,Avenida Duarte Quirós 2866,-31.407737,-64.221134,ALBERDI
C7125,Avenida Duarte Quirós 2674,-31.408447,-64.21894,ALBERDI
C7130,Luis de Azpeitía 3562,-31.407852,-64.229314,QUINTA SANTA ANA
C7132,Avenida Don Bosco 3886,-31.407875,-64.23366,QUINTA SANTA ANA
C7127,Avenida Duarte Quirós 3088,-31.406977,-64.223612,ALBERDI
C7128,Avenida Duarte Quirós 3278,-31.4063,-64.225817,QUINTA SANTA ANA
C7129,Juana Azurduy 364,-31.40744,-64.227576,QUINTA SANTA ANA
C7131,Avenida Don Bosco 3798,-31.407733,-64.232066,QUINTA SANTA ANA
C7133,Avenida Don Bosco 3978,-31.407737,-64.235628,QUINTA SANTA ANA
C7137,Avenida Don Bosco 4626,-31.405288,-64.244238,LAS VIOLETAS
C7135,Avenida Don Bosco 4336,-31.406552,-64.240462,LAS VIOLETAS
C7136,Avenida Don Bosco 4464,-31.406043,-64.242285,LAS VIOLETAS
C7138,Avenida Don Bosco 4730,-31.404743,-64.245434,LAS VIOLETAS
C7134,Avenida Don Bosco 4184,-31.407142,-64.238209,QUINTA SANTA ANA
C5199,Avenida Don Bosco 5228,-31.401625,-64.251958,LAS VIOLETAS
C7139,Avenida Don Bosco 4985,-31.403145,-64.248878,LAS VIOLETAS
C7141,Avenida Don Bosco 5284,-31.400938,-64.253342,LOS ROBLES
C7143,Pasco 323,-31.39725686515653,-64.25916194915773,LOS ROBLES
C7365,Avenida General Paz 287,-31.412004,-64.185423,URQUIZA
C7151,Luz Vieyra Méndez 644,-31.406703,-64.264956,LOS ROBLES
MA-00000927,Avenida Idelfonso Muñecas 4165,-31.480707481981685,-64.14216935634614,VILLA CORONEL OLMEDO
MA-00000918,Avenida Rafael Núñez 5493,-31.353302523278355,-64.24565434455873,LAS CORTADERAS
MA-00000906,Estocolmo 4328,-31.44843541936173,-64.2445492744446,ESTACION FLORES
MA-00000852,Coronel José Javier Diaz 251,-31.445671209459764,-64.19494450092317,LAS FLORES
MA-00000841,Tilcara 698,-31.474421410740053,-64.21270608901979,COMERCIAL
MA-00000832,Avenida Doctor Arturo Capdevila 502,-31.37899428817043,-64.16741430759431,GENERAL BUSTOS
C7673,Nueva Orleans 1590,-31.384014,-64.163734,GENERAL BUSTOS
MA-00000793,Centeno 3802,-31.432201384281225,-64.13672447204591,ACOSTA
