X,Y,Name,NOMBRE_BAR,SUP_HA_MOD,COD_BA_14,Poblacion,Hombres,Mujeres,%Poblacion,Hogares,NBI(hogares)
-64.1064392092923,-31.3894472257739,483-ZEPA,ZEPA,26.54,"483","1,061","527","534",0.08%,"255","36"
-64.1354610976761,-31.3922689658402,482-YOFRE SUD,YOFRE SUD,46.17,"482","5,126","2,444","2,682",0.39%,"1,543","55"
-64.1340907794603,-31.383963889503,481-YOFRE NORTE,YOFRE NORTE,73.63,"481","6,935","3,224","3,711",0.52%,"2,180","60"
-64.129184347694,-31.3911786575256,480-YOFRE I,YOFRE I,27.87,"480","2,631","1,249","1,382",0.20%,"791","33"
-64.1262502965613,-31.3888569976622,480-YOFRE I,YOFRE I,27.87,"480","2,631","1,249","1,382",0.20%,"791","33"
-64.1219689554819,-31.3816576646308,479-YOFRE H,YOFRE H,125.97,"479","1,789","880","909",0.13%,"508","29"
-64.129151194319,-31.3830274203111,479-YOFRE H,YOFRE H,125.97,"479","1,789","880","909",0.13%,"508","29"
-64.1496418820637,-31.4128278453437,478-YAPEYU,YAPEYU,85.24,"478","8,373","4,033","4,340",0.63%,"2,406","142"
-64.1447099774208,-31.4091462009157,478-YAPEYU,YAPEYU,85.24,"478","8,373","4,033","4,340",0.63%,"2,406","142"
-64.1441577529723,-31.4091344374394,478-YAPEYU,YAPEYU,85.24,"478","8,373","4,033","4,340",0.63%,"2,406","142"
-64.1446636862196,-31.382311576231,477-VIVERO NORTE,VIVERO NORTE,20.87,"477","1,571","735","836",0.12%,"442","17"
-64.2949561314855,-31.3436875418139,475-VILLA WARCALDE,VILLA WARCALDE,117.26,"475","624","309","315",0.05%,"184","20"
-64.2651931533667,-31.4250447239479,474-VILLA UNION,VILLA UNION,92.05,"474","4,842","2,383","2,459",0.36%,"1,232","212"
-64.2755114664663,-31.341833627199,473-VILLA SOLFERINO,VILLA SOLFERINO,12.89,"473","664","309","355",0.05%,"198","5"
-64.251239453436,-31.3403524658703,472-VILLA SILVANO FUNES,VILLA SILVANO FUNES,20.75,"472","925","458","467",0.07%,"274","15"
-64.2305440533676,-31.3956863950044,471-VILLA SIBURU,VILLA SIBURU,46.68,"471","1,333","676","657",0.10%,"365","43"
-64.2789046482414,-31.3301623505514,470-VILLA SERRANA,VILLA SERRANA,17.6,"470","1,089","533","556",0.08%,"275","51"
-64.1881087347359,-31.4575712536414,469-VILLA SAN ISIDRO,VILLA SAN ISIDRO,11.58,"469","844","423","421",0.06%,"252","7"
-64.1700416939278,-31.4620977600299,468-VILLA SAN CARLOS,VILLA SAN CARLOS,19.13,"468","507","245","262",0.04%,"161","15"
-64.2939456332099,-31.3254407068763,467-VILLA RIVERA INDARTE,VILLA RIVERA INDARTE,202.08,"467","4,473","2,225","2,248",0.34%,"1,207","62"
-64.1945915895642,-31.5130596771592,466-VILLA RIVADAVIA,VILLA RIVADAVIA,17.58,"466","876","448","428",0.07%,"226","49"
-64.1699676689109,-31.4370580300058,465-VILLA REVOL ANEXO,VILLA REVOL ANEXO,18.54,"465","876","418","458",0.07%,"258","31"
-64.1727065975052,-31.4435550254359,464-VILLA REVOL,VILLA REVOL,47.32,"464","4,327","2,045","2,282",0.33%,"1,341","58"
-64.1419326685494,-31.3293554739875,463-VILLA RETIRO,VILLA RETIRO,271.5,"463","455","229","226",0.03%,"129","8"
-64.1499636060546,-31.3432598750236,463-VILLA RETIRO,VILLA RETIRO,271.5,"463","455","229","226",0.03%,"129","8"
-64.2818486053848,-31.3331577606987,462-VILLA QUISQUIZACATE,VILLA QUISQUIZACATE,83.12,"462","1,477","717","760",0.11%,"421","13"
-64.2060005908958,-31.3959348360502,461-VILLA PAEZ,VILLA PAEZ,57.45,"461","4,861","2,335","2,526",0.37%,"1,428","105"
-64.2507310219899,-31.4160857927922,460-VILLA MARTINEZ,VILLA MARTINEZ,37.38,"460","3,496","1,748","1,748",0.26%,"826","169"
-64.2281814784385,-31.3608191633499,459-VILLA MARTA,VILLA MARTA,14.38,"459","981","483","498",0.07%,"340","2"
-64.2569491260768,-31.4022481112785,458-VILLA MAFEKIN,VILLA MAFEKIN,38.74,"458","1,923","920","1,003",0.14%,"542","44"
-64.0642238571163,-31.4082708450202,457-VILLA LA MERCED,VILLA LA MERCED,44.71,"457","1,325","670","655",0.10%,"280","61"
-64.1616106373206,-31.3271029528563,456-VILLA GRAN PARQUE,VILLA GRAN PARQUE,391.3,"456","581","300","281",0.04%,"155","11"
-64.2417974420032,-31.3909913330131,455-VILLA GENERAL URQUIZA,VILLA GENERAL URQUIZA,88.26,"455","6,010","2,976","3,034",0.45%,"1,524","261"
-64.1788372981638,-31.4821048973798,454-VILLA EUCARISTICA,VILLA EUCARISTICA,468.64,"454","1,404","717","687",0.11%,"366","6"
-64.106364790417,-31.3581731705604,453-VILLA ESQUIU,VILLA ESQUIU,313.08,"453","834","413","421",0.06%,"224","18"
-64.217256442448,-31.4821847839702,452-VILLA EL LIBERTADOR,VILLA EL LIBERTADOR,702.25,"452","29,324","14,459","14,865",2.21%,"7,541","1,048"
-64.2308600602331,-31.4841479547626,452-VILLA EL LIBERTADOR,VILLA EL LIBERTADOR,702.25,"452","29,324","14,459","14,865",2.21%,"7,541","1,048"
-64.1415667955082,-31.4808392426478,451-VILLA CORONEL OLMEDO,VILLA CORONEL OLMEDO,45.18,"451","3,719","1,813","1,906",0.28%,"1,052","66"
-64.2733000230197,-31.3144604769515,450-VILLA CORNU,VILLA CORNU,76.12,"450","3,637","1,786","1,851",0.27%,"954","72"
-64.2550290261622,-31.315867092543,450-VILLA CORNU,VILLA CORNU,76.12,"450","3,637","1,786","1,851",0.27%,"954","72"
-64.1446975348582,-31.3753122407543,449-VILLA CORINA,VILLA CORINA,57.06,"449","4,622","2,174","2,448",0.35%,"1,373","78"
-64.1225564917819,-31.3886748687489,448-VILLA CLAUDINA,VILLA CLAUDINA,4.25,"448","334","167","167",0.03%,"98","6"
-64.238479952604,-31.346764951577,447-VILLA CLARET,VILLA CLARET,6.49,"447","494","238","256",0.04%,"137","4"
-64.2308900849635,-31.3655136474965,446-VILLA CENTENARIO,VILLA CENTENARIO,49.47,"446","2,331","1,040","1,291",0.18%,"847","13"
-64.2107766574213,-31.3873896225332,445-VILLA CABRERA,VILLA CABRERA,112.83,"445","6,437","2,940","3,497",0.48%,"2,336","28"
-64.1118196733192,-31.4380459286388,444-VILLA BUSTOS,VILLA BUSTOS,31.56,"444","2,219","1,107","1,112",0.17%,"538","54"
