,ESCUELAS MUNICIPALES,,,,,
,Nº ESCUELA,ESTABLECIMIENTO,DIRECCION,TELEFONO DEL ESTABLECIMIENTO,ZONAS,Código único
,2,PEDRO CARANDE CARRO Bº CENTRO AMERICA,Enrique Martinez Paz 80,4335113,CE - Zona 2,Esc009
,4,ANGEL GASTALDI Bº COLONIA LOLA ,San Jerónimo 5550,4338565,CE - Zona 4,Esc007
,5,JULIO GONZALEZ Bº ARENALES,El Crespín s/n,4997932,CE - Zona 2,Esc005
,12,GOB. JUSTO PAEZ MOLINA Bº LAS PALMAS,Quebracho Herrado 200,4337317,CE - Zona 1,Esc001
,17,DR. RAUL V. MARTINEZ Bº QTAS DE ARGUELLO,Nilo Pecanha 7750,3543443094,CE - Zona 1,Esc008
,18,SANTIAGO DEL CASTILLO Bº ROSEDAL,Octaviano Navarro 2575,4333319,CE - Zona 4,Esc006
,19,COOP. ARGENTINO Bº RENACIMIENTO,Pje Matheu 5030,4338564,CE - Zona 3,Esc010
,22,DR. CESAR E. ROMERO Bº SACHI,El Dorado 6052,4333321,CE - Zona 4,Esc003
,24,DR. ANTONIO SOBRAL Bº PARQUE DEL ESTE,Calle Pública s/n,4339129,CE - Zona 2,Esc002
,27,DR. RAUL FERNANDEZ Bº Vª ALLENDE PARQUE,Cruz Alta 8500,354439690,CE - Zona 1,Esc004
,37,DR. ALFREDO ORGAZ Bº SAN JORGE II,Julián Laguna 2600,4335117,CE - Zona 2,Esc011
,9,BRIG. SAN MARTIN Bº JOSE HERNANDEZ,Trenque Lauquen 3200,4338639,CE - Zona 3,Esc012
,11,OSCAR SOTO LOPEZ Bº LOS SAUCES,Los Caldenes 5320,4338628,CE - Zona 3,Esc013
,13,ING. JUAN MASJOAN Bº LOS BOULEVARES,Ca 2 y De los Sicilianos,4335127,CE - Zona 1,Esc014
,14,GOB. ARTURO ZANICHELLI Bº LICEO,Alfonsina Storni 1300,4991922,CE - Zona 2,Esc015
,15,DR. DONATO L. FRIAS Bº PATRICIOS ,Díaz Vélez 2500,4335115,CE - Zona 2,Esc016
,16,DR. E. MOLINARI ROMERO Bº SAN CARLOS ,Pampayasta 2640,4334358,CE - Zona 3,Esc017
,26,ESCR. ANTONIO PAREDES Bº Vª AZALAIS ,Francisco del Prado 3900,4335421,CE - Zona 2,Esc018
,34,JORGE LUIS BORGES Bº SAN JORGE I,Barranca del Paraná 3193,4335116,CE - Zona 2,Esc019
,3,AZOR GRIMAUT Bº COMERCIAL,Sobremonte 6100,4333201,CE - Zona 4,Esc020
,7,DR. ARTURO ILLIA Bº JOSE I. DIAZ III,Martín de Maguna 2755,4338563,CE - Zona 3,Esc021
,10,DR. CARLOS BECERRA Bº LOS PLATANOS,Juan B. Gaona 1268,4337334,CE - Zona 4,Esc022
,21,DR. CARLOS ORDOÑEZ Bº STA ISABEL,Casablanca e Isla Verde,4333330,CE - Zona 4,Esc023
,23,MUTUALISMO ARGENTINO Bº STO CABRAL,Antonio Arcos 3157,4335112,CE - Zona 2,Esc024
,25,LUZ VIEIRA MENDEZ Bº SAN ROQUE ,Aviador Kingley s/n,4333337,CE - Zona 4,Esc025
,33,REPUBLICA DE ITALIA Bº CONGRESO ,Realicó 1580,4333338,CE - Zona 4,Esc026
,36,ALICIA MOREAU Bº Vª EL LIBERTADOR ,Pilcomayo 5100,4333325,CE - Zona 4,Esc027
,8,DR. AMADEO SABATTINI Bº JOSE I. DIAZ IV,Diego Pacheco 4980,4338626,CE - Zona 3,Esc028
,20,ARSENIO MURUGARREM Bº STA CECILIA ,Amadeo Grass 4273,4338407,CE - Zona 1,Esc029
,28,DR. HORACIO GARCIA Bº Vª CORNU,Tabacué 9150 y Cauque,3543449426,CE - Zona 1,Esc030
,29,DR. JORGE ORGAZ Bº Vª RIVERA INDARTE ,Laguna Larga 8900,3512079748,CE - Zona 1,Esc031
,30,DR. EMILIO B. LAZCANO Bº Vª URQUIZA ,Humberto Primero 4600,4337336,CE - Zona 1,Esc032
,31,DR. JUAN B. JUSTO Bº Vª SIBURU,Igualdad 4100,4337316 - 7335,CE - Zona 1,Esc033
,32,SAUL TABORDA Bº Vª 9 DE JULIO ,Coquena 7900 y Charrúas,3543449424,CE - Zona 1,Esc034
,35,MTRO. MANUEL OLIVA Bº MERCANTIL,Tomassini 6551,3543449425,CE - Zona 1,Esc035
,38,DOMINGO F. SARMIENTO Bº JOSE I. DIAZ V,Abarca y Velazco 5267,4338627,CE - Zona 3,Esc036
