X,Y,Z,Name,tipo,descripcion,telefono,horario,direccion,especialidades,Contrera,Horario2,Martes y Jueves,TE,TEL,n,n de,rcoles y Viernes
-64.149057,-31.3648,0,CS N° 1 - General Mosconi,Centro de Salud,"Calle Pedro Naon 1330
Atención: Lunes a viernes de 7 a 19 hs
TE: 4335102 / 5428",4335102 / 5428,Lunes a viernes de 7 a 19 hs,"Calle Pedro Naon 1330
","Control del niño sano; Control del embarazo y puerperio; Salud sexual y reproductiva; Control de enfermedades crónicas no transmisibles (ECNT); Inmunizaciones; Odontología.",,,,4335102 / 5428,,Lunes a viernes de 7 a 19 hs,,
-64.099324,-31.46223,0,CS N° 2 - Los Sauces,Centro de Salud,"Calle Los Algarrobos 351
Atención: lunes a viernes de 7 a 19 hs.
TE: 4338516","4338516",Lunes a viernes de 7 a 19 hs.,"Los Algarrobos 351
","Control del niño sano; Control del embarazo y puerperio; Salud sexual y reproductiva; Control de enfermedades crónicas no transmisibles (ECNT); Inmunizaciones; Odontología. ",,,,"4338516",,lunes a viernes de 7 a 19 hs.,,
-64.140914,-31.39212,0,CS N° 3 - Los Pinos,Centro de Salud,"Pje. Gable Car 3786 (entre Duran y Rawson)
Atención: Lunes a viernes de 7 a 14 hs.
TE: 4339101","4339101","Lunes a viernes de 7 a 14 hs.
","Pasaje Gable Car 3786 (entre Duran y Rawson)
","Control del niño sano; Control del embarazo y puerperio; Salud sexual y reproductiva; Control de enfermedades crónicas no transmisibles (ECNT); Inmunizaciones; Odontología.",,,,"4339101",,Lunes a viernes de 7 a 14 hs.,,
-64.142765,-31.381934,0,CS N° 4 - Nueva Italia,Centro de Salud,"Calle Jose de Quevedo esq. Dos Barrios
Atención: Lunes a Viernes de 7 a 14 hs.                                                 TE: 4335123","4335123",Lunes a viernes de 7 a 14 hs.,Jose de Quevedo esq. Dos Barrios,"Control del niño sano; Control del embarazo y puerperio; Salud sexual y reproductiva; Control de enfermedades crónicas no transmisibles (ECNT); Inmunizaciones; Odontología. ",,,,,,Lunes a Viernes de 7 a 14 hs.                                                 TE: 4335123,,
-64.130464,-31.38667,0,CS N° 5 - Yofre Norte,Centro de Salud,"Calle Ramón de Clairac 1875
Atención: Lunes a viernes de 7 a 14 hs.
TE: 4339103","4339103","Lunes a viernes de 7 a 14 hs.
",Rene de Clairac 1875,"Control del niño sano; Control del embarazo y puerperio; Salud sexual y reproductiva; Control de enfermedades crónicas no transmisibles (ECNT); Inmunizaciones; Odontología. ",,,,"4339103",,Lunes a viernes de 7 a 14 hs.,,
-64.297292,-31.328122,0,CS N° 6 - Villa Rivera Indarte,Centro de Salud,"Calle Chamico y Reartes 
Atención: Lunes a viernes de 7 a 15 hs.
TE: 03543-449420",03543-449420 ,"Lunes a viernes de 7 a 15 hs.
",Chamico y Reartes,"Control del niño sano; Control del embarazo y puerperio; Salud sexual y reproductiva; Control de enfermedades crónicas no transmisibles (ECNT); Inmunizaciones; Odontología.",,,,03543-449420,,Lunes a viernes de 7 a 15 hs.,,
-64.154813,-31.400302,0,CS N° 7 - Pueyrredón,Centro de Salud,"Pasaje Urtubey esq. Faray Bracco 
Atención: Lunes a viernes de 7 a 17 hs.
TE: 4339135 / 9109",4339135 / 9109,"Lunes a viernes de 7 a 17 hs.
",Pasaje Urtubey esq. Faray Bracco,"Control del niño sano; Control del embarazo y puerperio; Salud sexual y reproductiva; Control de enfermedades crónicas no transmisibles (ECNT); Inmunizaciones; Odontología",,,,4339135 / 9109,,Lunes a viernes de 7 a 17 hs.,,
-64.130083,-31.427812,0,CS N° 8 - Acosta,Centro de Salud,"Calle Corrientes esq. Rio Parana
Atención: Lunes a viernes de 7 a 14 hs.
TE: 4338551","4338551",Lunes a viernes de 7 a 14 hs.,Corrientes esq. Río Paraná,"Control del niño sano; Control del embarazo y puerperio; Salud sexual y reproductiva; Control de enfermedades crónicas no transmisibles (ECNT); Inmunizaciones; Odontología.",,,,"4338551",,Lunes a viernes de 7 a 14 hs.,,
-64.213926,-31.404899,0,CS N° 9 - Alberdi Oeste,Centro de Salud,"Calle Dr. Pedro Chutro	169
Atención: Lunes a viernes de 7 a 14 hs.
TE: 4337309/7362",4337309/7362,"Lunes a viernes de 7 a 14 hs.
","Dr. Pedro Chutro	169","Control del niño sano; Control del embarazo y puerperio; Salud sexual y reproductiva; Control de enfermedades crónicas no transmisibles (ECNT); Inmunizaciones; Odontología.",,,,4337309/7362,,Lunes a viernes de 7 a 14 hs.,,
-64.115186,-31.424926,0,CS N° 10 - Colonia Lola,Centro de Salud,"Calle Lola Mora 1324
Atención: Lunes a Viernes 7 a 15 hs.
TE: 4338763 / 8552",4338763 / 8552,"Lunes a viernes 7 a 15 hs.
",Lola Mora 1324,"Control del niño sano; Control del embarazo y puerperio; Salud sexual y reproductiva; Control de enfermedades crónicas no transmisibles (ECNT); Inmunizaciones; Odontología.",,,,4338763 / 8552,,Lunes a Viernes 7 a 15 hs.,,
