id,geometry_type,wkt,area_m2,area_km2,centroid_lon,centroid_lat,bbox_minx,bbox_miny,bbox_maxx,bbox_maxy,parts,holes,vertices,label,% POBLACION,ÃNDICE DE PRIORIDAD SOCIAL (IPS),CANTIDAD DE BARRIOS OFICIALES,CIRCUITO,CPC,DENSIDAD POBLACIONAL HAB/KMÂ²,DEPARTAMENTO,description,DIRECCION,fill,fill-opacity,gx_media_links,icon,icon-scale,KILÃMETRO CUADRADO,label-scale,LOCALIDAD,name,ORGANIZACIÃN ADMINISTRATIVA,SECCIONAL,stroke,stroke-opacity,stroke-width,styleUrl,TIPO,TIPO DE INMUEBLE,TIPO DE INSTITUCIÃN,TIPO DE INSTITUCION,TIPO DE TERRENO,TOTAL HOGARES,TOTAL POBLACION
1,Point,POINT (-64.295379 -31.332087 0),0,0.000000,-64.295379,-31.332087,-64.295379,-31.332087,-64.295379,-31.332087,1,0,1,CENTRO VECINAL RIVERA INDARTE,,,,14C,ARGUELLO,,,"{""@type"":""html"",""value"":""TIPO DE INSTITUCIÃN: CENTRO VECINAL<br>CPC: ARGUELLO<br>SECCIONAL: 14<br>CIRCUITO: 14C<br>DIRECCION: LABORDE NÂ° 7705<br>TIPO DE INMUEBLE: COMODATO MUNICIPAL""}",LABORDE NÂ° 7705,,,,images/icon-1.png,1,,0,,CENTRO VECINAL RIVERA INDARTE,,14,,,,#icon-1603-F57C00,,COMODATO MUNICIPAL,CENTRO VECINAL,,,,
2,Point,POINT (-64.26154 -31.31321 0),0,0.000000,-64.26154,-31.31321,-64.26154,-31.31321,-64.26154,-31.31321,1,0,1,CENTRO VECINAL 16 DE NOVIEMBREÂ ,,,,14H,ARGUELLO,,,"{""@type"":""html"",""value"":""TIPO DE INSTITUCIÃN: CENTRO VECINALÂ <br>CPC: ARGUELLO<br>SECCIONAL: 14<br>CIRCUITO: 14H<br>DIRECCION: CAUQUE ESQ JOSÃ TORRE REVELLO<br>TIPO DE INMUEBLE: PRESTADOÂ ""}",CAUQUE ESQ JOSÃ TORRE REVELLO,,,,images/icon-1.png,1,,0,,CENTRO VECINAL 16 DE NOVIEMBREÂ ,,14,,,,#icon-1603-F57C00,,PRESTADOÂ ,CENTRO VECINALÂ ,,,,
3,Point,POINT (-64.281521 -31.331658 0),0,0.000000,-64.281521,-31.331658,-64.281521,-31.331658,-64.281521,-31.331658,1,0,1,CENTRO VECINAL VILLA QUISQUIZACATE,,,,14C,ARGUELLO,,,"{""@type"":""html"",""value"":""TIPO DE INSTITUCIÃN: CENTRO VECINAL<br>CPC: ARGUELLO<br>SECCIONAL: 14<br>CIRCUITO: 14C<br>DIRECCION: LLOQUE NÂ° 8426<br>TIPO DE INMUEBLE: COMODATO MUNICIPAL EN TRAMITE""}",LLOQUE NÂ° 8426,,,,images/icon-1.png,1,,0,,CENTRO VECINAL VILLA QUISQUIZACATE,,14,,,,#icon-1603-F57C00,,COMODATO MUNICIPAL EN TRAMITE,CENTRO VECINAL,,,,
4,Point,POINT (-64.269536 -31.314194 0),0,0.000000,-64.269536,-31.314194,-64.269536,-31.314194,-64.269536,-31.314194,1,0,1,CENTRO VECINAL VILLA CORNU Y POLICIAL,,,,14H,ARGUELLO,,,"{""@type"":""html"",""value"":""TIPO DE INSTITUCIÃN: CENTRO VECINAL<br>CPC: ARGUELLO<br>SECCIONAL: 14<br>CIRCUITO: 14H<br>DIRECCION: QUILLOAMIRA ESQ. LLANCANQUEL NÂ° 9400<br>TIPO DE INMUEBLE: COMODATO MUNICIPAL""}",QUILLOAMIRA ESQ. LLANCANQUEL NÂ° 9400,,,,images/icon-1.png,1,,0,,CENTRO VECINAL VILLA CORNU Y POLICIAL,,14,,,,#icon-1603-F57C00,,COMODATO MUNICIPAL,CENTRO VECINAL,,,,
5,Point,POINT (-64.244741 -31.334422 0),0,0.000000,-64.244741,-31.334422,-64.244741,-31.334422,-64.244741,-31.334422,1,0,1,CENTRO VECINAL 2 DE SEPTIEMBRE Y GRANJA DE FUNDES II,,,,14A,ARGUELLO,,,"{""@type"":""html"",""value"":""TIPO DE INSTITUCIÃN: CENTRO VECINAL<br>CPC: ARGUELLO<br>SECCIONAL: 14<br>CIRCUITO: 14A<br>DIRECCION: CAYETANO DAMICO ESQ. FARABOLLINI JORGE<br>TIPO DE INMUEBLE: COMODATO PROVINCIAL""}",CAYETANO DAMICO ESQ. FARABOLLINI JORGE,,,,images/icon-1.png,1,,0,,CENTRO VECINAL 2 DE SEPTIEMBRE Y GRANJA DE FUNDES II,,14,,,,#icon-1603-F57C00,,COMODATO PROVINCIAL,CENTRO VECINAL,,,,
6,Point,POINT (-64.283247 -31.315528 0),0,0.000000,-64.283247,-31.315528,-64.283247,-31.315528,-64.283247,-31.315528,1,0,1,CENTRO VECINAL VILLA ALLENDE PARQUE,,,,14K,ARGUELLO,,,"{""@type"":""html"",""value"":""TIPO DE INSTITUCIÃN: CENTRO VECINAL<br>CPC: ARGUELLO<br>SECCIONAL: 14<br>CIRCUITO: 14K<br>DIRECCION: LINCÃ NÂ° 9360 ESQ. MACHA<br>TIPO DE INMUEBLE: COMODATO MUNICIPAL EN TRAMITE""}",LINCÃ NÂ° 9360 ESQ. MACHA,,,,images/icon-1.png,1,,0,,CENTRO VECINAL VILLA ALLENDE PARQUE,,14,,,,#icon-1603-F57C00,,COMODATO MUNICIPAL EN TRAMITE,CENTRO VECINAL,,,,
7,Point,POINT (-64.27847 -31.330669 2.2),0,0.000000,-64.27847,-31.330669,-64.27847,-31.330669,-64.27847,-31.330669,1,0,1,CENTRO VECINAL VILLA SERRANA,,,,14O,ARGUELLO,,,"{""@type"":""html"",""value"":""TIPO DE INSTITUCIÃN: CENTRO VECINAL<br>CPC: ARGUELLO<br>SECCIONAL: 14<br>CIRCUITO: 14O<br>DIRECCION: SINCHI ROCA NÂ° 7890 ESQ. MOCHICA<br>TIPO DE INMUEBLE: COMODATO MUNICIPAL VIGENTE""}",SINCHI ROCA NÂ° 7890 ESQ. MOCHICA,,,,images/icon-1.png,1,,0,,CENTRO VECINAL VILLA SERRANA,,14,,,,#icon-1603-F57C00,,COMODATO MUNICIPAL VIGENTE,CENTRO VECINAL,,,,
8,Point,POINT (-64.293674 -31.321161 0),0,0.000000,-64.293674,-31.321161,-64.293674,-31.321161,-64.293674,-31.321161,1,0,1,CENTRO VECINAL VILLA RIVERA INDARTE,,,,14P,ARGUELLO,,,"{""@type"":""html"",""value"":""TIPO DE INSTITUCIÃN: CENTRO VECINAL<br>CPC: ARGUELLO<br>SECCIONAL: 14<br>CIRCUITO: 14P<br>DIRECCION: IGLESIA VIEJA NÂ° 9110 ESQ. LAGUNA LARGA<br>TIPO DE INMUEBLE: COMODATO MUNICIPAL""}",IGLESIA VIEJA NÂ° 9110 ESQ. LAGUNA LARGA,,,,images/icon-1.png,1,,0,,CENTRO VECINAL VILLA RIVERA INDARTE,,14,,,,#icon-1603-F57C00,,COMODATO MUNICIPAL,CENTRO VECINAL,,,,
9,Point,POINT (-64.257125 -31.320487 0),0,0.000000,-64.257125,-31.320487,-64.257125,-31.320487,-64.257125,-31.320487,1,0,1,CENTRO VECINAL MERCANTIL,,,,14H,ARGUELLO,,,"{""@type"":""html"",""value"":""TIPO DE INSTITUCIÃN: CENTRO VECINAL<br>CPC: ARGUELLO<br>SECCIONAL: 14<br>CIRCUITO: 14H<br>DIRECCION: GUILLERMO FURLONG ESQ. JACINTO YABEN<br>TIPO DE INMUEBLE: COMODATO MUNICIPAL VIGENTE""}",GUILLERMO FURLONG ESQ. JACINTO YABEN,,,,images/icon-1.png,1,,0,,CENTRO VECINAL MERCANTIL,,14,,,,#icon-1603-F57C00,,COMODATO MUNICIPAL VIGENTE,CENTRO VECINAL,,,,
10,Point,POINT (-64.277503 -31.328441 0),0,0.000000,-64.277503,-31.328441,-64.277503,-31.328441,-64.277503,-31.328441,1,0,1,CENTRO VECINAL VILLA 9 DE JULIO,,,,14O,ARGUELLO,,,"{""@type"":""html"",""value"":""TIPO DE INSTITUCIÃN: CENTRO VECINAL<br>CPC: ARGUELLO<br>SECCIONAL: 14<br>CIRCUITO: 14O<br>DIRECCION: COQUENA MÂ°7848 ESQ. HUARPES<br>TIPO DE INMUEBLE: PROPIO""}",COQUENA MÂ°7848 ESQ. HUARPES,,,,images/icon-1.png,1,,0,,CENTRO VECINAL VILLA 9 DE JULIO,,14,,,,#icon-1603-F57C00,,PROPIO,CENTRO VECINAL,,,,
