id,cueanexo,nombre,est_sector,est_ambito,est_domicilio,est_barrio,est_localidad,est_departamento,nivel,n_plan_estudio,lon,lat
1,140225506,ESCUELA NOCTURNA LUIS MARIA DRAGO ANEXO EXT. AULICA VICENTE FORESTIERI,Estatal,Urbano,RIO NEGRO 5800,VILLA EL LIBERTADOR,CORDOBA,CAPITAL,"[""6. Jóvenes y Adultos - Primario""]",,-64.2247,-31.4802
2,140000200,INSTITUTO LUTERANO CONCORDIA,Privado,Urbano,AV. SANTA ANA 2011,ALTO ALBERDI,CORDOBA,CAPITAL,"[""2. Común - Secundario""]","[""2. Bachiller en ciencias naturales""]",-64.212,-31.4164
3,140002500,INSTITUTO GRAL. MANUEL BELGRANO,Privado,Urbano,ARMENIA 2080,PUEYRREDON,CORDOBA,CAPITAL,"[""2. Común - Secundario""]","[""2. Bachiller en Ciencias Sociales y Humanidades""]",-64.1585,-31.4039
4,140003900,I.P.E.A. Nº 227 ING. AGR. HERIBERTO G. FISHER ,Estatal,Rural Aglomerado,SARMIENTO 441,,LOZADA,SANTA MARIA,"[""2. Común - Secundario""]","[""2. Técnico en producción agropecuaria""]",-64.0908,-31.6477
5,140005200,I.P.E.M. Nº 199 DR. JUAN EMILIO REMONDA,Estatal,Urbano,SOSA REVELLO 590,PANAMERICANO,CORDOBA,CAPITAL,"[""2. Común - Secundario""]","[""2. Bachiller en Arte - Artes Visuales"",""2. Bachiller en Ciencias Sociales y Humanidades""]",-64.1822,-31.368
6,140005500,INSTITUTO PEDRO IGNACIO DE  CASTRO BARROS (EX-NOCT.FEMENINO),Privado,Urbano,SALTA 250,CENTRO,CORDOBA,CAPITAL,"[""2. Común - Secundario"",""7. Jóvenes y Adultos - Secundario""]","[""2. Bachiller en Ciencias Sociales y Humanidades"",""7. Bachiller orientado en economía y administración""]",-64.1774,-31.4148
7,140005600,I.P.E.T. Nº 76. GUSTAVO RIEMANN,Estatal,Urbano,ARTURO ILLIA 524,CENTRO,VILLA RUMIPAL,CALAMUCHITA,"[""2. Común - Secundario""]","[""2. Técnico en equipos e instalaciones electromecánicas"",""2. Técnico químico""]",-64.4767,-32.1937
8,140005800,I.P.E.A. Nº 238 CARLOS MARIA MAMPAEY,Estatal,Urbano,CORRIENTES S/N°,,VILLA GENERAL BELGRANO,CALAMUCHITA,"[""2. Común - Secundario""]","[""2. Técnico en producción agropecuaria""]",-64.5534,-31.9637
9,140007000,INSTITUTO SECUNDARIO OLEGARIO VICTOR ANDRADE,Privado,Urbano,AMALIA CELIA FIGUEREDO DE PIETRA 1615,VILLA RETIRO,CORDOBA,CAPITAL,"[""2. Común - Secundario""]","[""2. Bachiller en economía y administración""]",-64.1499,-31.3418
10,140007300,INSTITUTO ESPIRITU SANTO,Privado,Urbano,JORGE ISAACS 4847,PARQUE LICEO 1RA. SECCION,CORDOBA,CAPITAL,"[""2. Común - Secundario""]","[""2. Bachiller en comunicación"",""2. Bachiller en economía y administración""]",-64.1739,-31.3511
11,140007600,INSTITUTO MODELO DE JUEGOS Y DEPORTES RACING,Privado,Urbano,GARAGLIO 2065,NUEVA ITALIA,CORDOBA,CAPITAL,"[""2. Común - Secundario""]","[""2. Bachiller en educación física""]",-64.1429,-31.389
12,140007900,INSTITUTO HORTUS CONCLUSUS,Privado,Urbano,ANTONIO MARIA GIANELLI 551,GENERAL BUSTOS,CORDOBA,CAPITAL,"[""2. Común - Secundario""]","[""2. Bachiller en ciencias naturales"",""2. Bachiller en Ciencias Sociales y Humanidades""]",-64.1755,-31.3951
13,140009000,INSTITUTO DEL SANTISIMO ROSARIO,Privado,Urbano,SAN MARTIN 756,,SANTA ROSA DE RIO PRIMERO,RIO PRIMERO,"[""2. Común - Secundario""]","[""2. Bachiller en economía y administración""]",-63.4042,-31.1533
14,140009100,C.E.N.M.A. STA ROSA DE RIO PRIMERO,Estatal,Urbano,9 DE JULIO 455,CENTRO,SANTA ROSA DE RIO PRIMERO,RIO PRIMERO,"[""7. Jóvenes y Adultos - Secundario""]","[""7. Bachiller orientado en informática""]",-63.3992,-31.1548
15,140009102,C.E.N.M.A. SANTA ROSA DE RIO PRIMERO ANEXO OBISPO TREJO,Estatal,Urbano,GENERAL PAZ 788,,OBISPO TREJO,RIO PRIMERO,"[""7. Jóvenes y Adultos - Secundario""]","[""7. Bachiller orientado en agro y ambiente""]",-63.4129,-30.7824
16,140009104,C.E.N.M.A. SANTA ROSA DE RIO PRIMERO ANEXO SEDE LA PUERTA,Estatal,Urbano,LAS HERAS,,LA PUERTA,RIO PRIMERO,"[""7. Jóvenes y Adultos - Secundario""]","[""7. Bachiller orientado en agro y ambiente""]",-63.2537,-30.8934
